
RIDE SUMMARY,
Total Time, 48.6, Minutes, 
Total Distance, 20.57, MI, 
AVG Power, 314, 
MAX Power, 654, 
AVG RPM, 66, 
MAX RPM, 89, 
AVG HR, 136, 
MAX HR, 154, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 44.6, Minutes, 
Total Distance, -nan, MI, 
AVG Power, 323, 
MAX Power, 654, 
AVG HR, 139, 
MAX HR, 154, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
82,82,0,0.00,
177,84,0,0.00,
219,83,0,0.02,
193,78,0,0.04,
179,74,0,0.06,
172,73,0,0.07,
176,74,37,0.09,
180,75,58,0.11,
180,76,78,0.13,
183,76,81,0.14,
179,75,82,0.16,
179,75,85,0.18,
179,75,87,0.20,
178,76,91,0.21,
186,77,94,0.23,
186,77,96,0.25,
186,77,97,0.27,
190,77,98,0.29,
192,77,99,0.30,
186,77,100,0.32,
185,77,100,0.34,
185,77,100,0.36,
185,77,100,0.37,
184,77,100,0.39,
183,77,101,0.41,
179,77,102,0.43,
183,77,102,0.45,
179,76,101,0.46,
179,77,101,0.48,
183,77,98,0.50,
183,77,97,0.52,
173,75,97,0.53,
173,75,98,0.55,
173,75,100,0.57,
169,74,103,0.59,
170,73,105,0.60,
178,73,106,0.62,
164,73,106,0.64,
166,73,107,0.66,
177,74,107,0.67,
173,73,106,0.69,
180,74,106,0.71,
180,74,104,0.73,
178,74,104,0.74,
175,74,104,0.76,
170,73,103,0.78,
173,73,100,0.80,
177,74,98,0.81,
182,75,97,0.83,
182,75,97,0.85,
220,78,96,0.87,
258,80,95,0.88,
253,79,94,0.90,
245,78,93,0.92,
236,79,91,0.94,
247,82,90,0.96,
253,83,91,0.98,
280,85,96,1.00,
285,86,100,1.02,
285,86,103,1.04,
273,83,106,1.06,
252,80,107,1.08,
251,80,107,1.10,
251,80,107,1.12,
246,79,107,1.14,
241,79,108,1.16,
252,80,108,1.18,
252,81,110,1.20,
243,82,111,1.22,
244,81,112,1.24,
251,80,112,1.26,
251,80,112,1.28,
245,79,112,1.30,
240,78,112,1.32,
295,88,111,1.34,
294,87,110,1.36,
289,87,109,1.38,
295,89,109,1.40,
300,89,113,1.42,
289,87,116,1.44,
283,86,118,1.47,
289,87,119,1.49,
288,88,120,1.51,
291,88,120,1.53,
286,87,121,1.55,
286,87,121,1.57,
