
RIDE SUMMARY,
Total Time, 47.3, Minutes, 
Total Distance, 21.25, MI, 
AVG Power, 364, 
MAX Power, 620, 
AVG RPM, 65, 
MAX RPM, 94, 
AVG HR, 133, 
MAX HR, 151, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 44.4, Minutes, 
Total Distance, 20.14, MI, 
AVG Power, 372, 
MAX Power, 620, 
AVG HR, 135, 
MAX HR, 151, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
227,77,0,0.00,
244,78,0,0.01,
230,78,0,0.03,
226,78,0,0.04,
218,77,0,0.06,
217,75,42,0.08,
200,72,84,0.10,
195,71,84,0.12,
190,71,83,0.14,
198,71,82,0.16,
203,70,82,0.18,
198,71,83,0.19,
207,72,84,0.21,
234,80,85,0.23,
221,77,86,0.25,
221,77,85,0.27,
224,76,85,0.29,
217,76,85,0.31,
208,75,85,0.33,
200,73,85,0.34,
188,71,86,0.36,
198,71,89,0.38,
188,70,91,0.40,
189,71,92,0.42,
190,70,93,0.44,
193,73,96,0.45,
236,77,98,0.47,
233,79,99,0.49,
224,77,99,0.51,
223,76,99,0.53,
209,76,99,0.55,
226,76,101,0.57,
219,75,102,0.59,
217,74,103,0.60,
207,74,102,0.62,
249,84,101,0.64,
337,85,100,0.66,
342,84,100,0.68,
313,79,100,0.70,
303,76,101,0.73,
281,75,100,0.75,
280,74,100,0.77,
290,74,100,0.79,
282,74,100,0.81,
280,74,101,0.83,
264,72,101,0.85,
266,72,101,0.87,
275,74,100,0.89,
298,76,100,0.91,
286,76,100,0.93,
286,76,102,0.95,
276,74,102,0.97,
288,74,103,1.00,
284,74,103,1.02,
267,73,103,1.04,
270,73,103,1.06,
253,73,104,1.08,
326,79,104,1.10,
317,81,104,1.12,
338,81,104,1.14,
313,80,104,1.16,
371,79,103,1.18,
398,77,104,1.21,
403,73,105,1.23,
317,64,106,1.25,
312,64,108,1.27,
323,65,108,1.30,
345,66,109,1.32,
353,58,109,1.34,
297,58,110,1.36,
302,59,111,1.38,
331,62,112,1.40,
353,63,113,1.43,
349,62,113,1.45,
286,58,114,1.47,
371,66,114,1.49,
382,66,115,1.51,
347,63,115,1.54,
374,65,116,1.56,
366,64,116,1.58,
345,62,117,1.60,
345,63,118,1.63,
340,65,118,1.65,
352,63,119,1.67,
332,62,119,1.69,
346,64,119,1.72,
349,63,120,1.74,
343,63,121,1.76,
350,64,121,1.78,
364,64,121,1.80,
326,61,121,1.83,
295,59,121,1.85,
326,61,122,1.87,
331,62,121,1.89,
310,61,120,1.91,
351,63,119,1.93,
284,57,119,1.96,
301,59,119,1.98,
336,63,119,2.00,
330,63,119,2.02,
355,64,119,2.04,
343,58,119,2.06,
300,60,119,2.09,
338,62,119,2.11,
337,61,120,2.13,
321,61,121,2.15,
340,63,122,2.17,
364,64,123,2.20,
329,63,123,2.22,
367,66,123,2.24,
355,63,124,2.26,
334,62,124,2.29,
358,64,125,2.31,
293,59,125,2.33,
359,66,125,2.35,
352,64,125,2.37,
340,63,125,2.40,
354,63,125,2.42,
337,62,125,2.44,
320,61,125,2.46,
341,63,125,2.48,
335,63,125,2.51,
337,66,125,2.53,
364,65,126,2.55,
354,63,127,2.57,
335,62,126,2.60,
315,61,126,2.62,
362,65,126,2.64,
367,64,126,2.66,
298,58,127,2.68,
307,59,127,2.71,
376,66,127,2.73,
375,66,127,2.75,
386,65,128,2.77,
378,65,128,2.79,
377,63,127,2.82,
431,57,126,2.84,
419,56,125,2.86,
349,50,125,2.89,
378,54,125,2.91,
352,59,126,2.93,
337,56,127,2.96,
320,54,128,2.98,
342,56,128,3.00,
330,55,129,3.02,
388,60,130,3.04,
389,59,131,3.07,
330,55,132,3.09,
327,55,132,3.11,
329,55,132,3.13,
333,54,132,3.16,
351,56,132,3.18,
350,57,132,3.20,
342,56,132,3.22,
339,55,132,3.24,
338,56,132,3.27,
339,55,132,3.29,
347,57,132,3.31,
329,54,132,3.33,
352,56,132,3.35,
394,58,132,3.38,
427,59,132,3.40,
382,56,132,3.42,
358,54,132,3.45,
294,54,132,3.47,
428,67,132,3.49,
427,66,132,3.51,
399,64,132,3.54,
367,61,132,3.56,
367,61,133,3.58,
383,64,133,3.61,
401,64,132,3.63,
391,63,134,3.65,
366,61,135,3.68,
359,61,135,3.70,
351,60,135,3.72,
