
RIDE SUMMARY,
Total Time, 51.0, Minutes, 
Total Distance, 22.48, MI, 
AVG Power, 345, 
MAX Power, 636, 
AVG RPM, 76, 
MAX RPM, 110, 
AVG HR, 133, 
MAX HR, 148, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 46.1, Minutes, 
Total Distance, 20.58, MI, 
AVG Power, 356, 
MAX Power, 636, 
AVG HR, 137, 
MAX HR, 148, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
205,73,0,0.00,
193,73,0,0.01,
191,72,0,0.03,
195,72,0,0.05,
228,70,0,0.07,
215,70,54,0.08,
214,70,72,0.10,
223,71,68,0.12,
220,71,68,0.14,
214,70,70,0.16,
220,72,72,0.18,
223,72,75,0.20,
218,71,80,0.22,
209,70,83,0.24,
203,71,85,0.25,
223,73,89,0.27,
230,72,92,0.29,
229,71,95,0.31,
209,69,95,0.33,
211,68,96,0.35,
199,67,95,0.37,
205,68,95,0.39,
235,75,95,0.40,
232,75,94,0.42,
241,73,94,0.44,
220,71,94,0.46,
217,70,93,0.48,
222,71,94,0.50,
220,73,95,0.52,
235,74,96,0.54,
240,73,98,0.56,
234,74,99,0.58,
241,75,99,0.60,
241,76,97,0.62,
247,76,97,0.64,
247,76,98,0.66,
247,76,99,0.68,
241,75,101,0.70,
241,75,101,0.71,
239,87,101,0.73,
271,89,101,0.75,
263,88,101,0.77,
260,85,101,0.79,
244,83,101,0.81,
239,82,101,0.83,
239,82,101,0.85,
239,82,101,0.87,
239,82,100,0.89,
239,82,99,0.91,
239,82,98,0.93,
235,83,97,0.95,
243,83,96,0.97,
238,82,95,0.99,
333,81,94,1.01,
314,79,94,1.03,
265,77,95,1.05,
260,77,94,1.07,
261,77,94,1.09,
277,77,94,1.11,
260,77,95,1.13,
246,79,98,1.15,
252,80,100,1.17,
258,80,100,1.19,
288,85,101,1.21,
276,83,102,1.23,
259,79,103,1.25,
252,79,102,1.28,
252,79,102,1.30,
253,79,102,1.32,
241,77,102,1.33,
234,75,102,1.35,
230,75,103,1.37,
230,75,104,1.39,
235,76,104,1.41,
234,75,104,1.43,
230,75,103,1.45,
230,75,102,1.47,
230,76,101,1.49,
235,76,101,1.51,
235,76,101,1.53,
235,76,100,1.55,
235,76,99,1.57,
241,77,99,1.59,
241,77,99,1.61,
235,77,99,1.63,
236,76,99,1.65,
239,77,99,1.66,
234,76,100,1.68,
234,76,100,1.70,
234,76,100,1.72,
242,76,100,1.74,
234,76,100,1.76,
