
RIDE SUMMARY,
Total Time, 44.5, Minutes, 
Total Distance, 18.73, MI, 
AVG Power, 309, 
MAX Power, 575, 
AVG RPM, 67, 
MAX RPM, 87, 
AVG HR, 138, 
MAX HR, 155, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 41.9, Minutes, 
Total Distance, -nan, MI, 
AVG Power, 320, 
MAX Power, 575, 
AVG HR, 141, 
MAX HR, 155, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
118,82,0,0.00,
133,82,0,0.01,
132,81,0,0.02,
126,79,0,0.04,
119,76,0,0.06,
114,75,40,0.07,
113,74,59,0.09,
127,80,79,0.10,
155,75,79,0.12,
142,74,80,0.13,
136,72,80,0.15,
133,66,82,0.16,
114,66,83,0.18,
114,66,84,0.20,
115,68,85,0.21,
125,70,85,0.23,
127,70,87,0.24,
126,69,88,0.26,
125,69,90,0.27,
122,68,91,0.29,
121,67,91,0.30,
119,67,91,0.32,
117,67,92,0.33,
116,66,92,0.35,
114,67,92,0.36,
121,69,92,0.38,
123,68,91,0.39,
121,67,91,0.41,
117,67,90,0.42,
117,66,89,0.44,
115,64,87,0.45,
107,65,87,0.47,
114,66,87,0.48,
118,68,88,0.50,
119,68,88,0.51,
121,69,88,0.53,
122,69,87,0.54,
123,69,87,0.56,
127,71,88,0.58,
131,72,88,0.59,
133,73,89,0.61,
136,74,89,0.62,
147,76,89,0.64,
147,76,89,0.65,
145,74,89,0.67,
140,76,89,0.69,
232,86,89,0.70,
218,83,88,0.72,
209,80,88,0.74,
204,79,88,0.76,
201,79,88,0.78,
201,79,92,0.80,
192,79,92,0.81,
213,80,96,0.83,
263,81,97,0.85,
262,80,99,0.87,
257,80,99,0.89,
256,79,99,0.91,
251,78,96,0.93,
253,80,95,0.95,
259,81,95,0.97,
265,81,97,0.99,
250,78,101,1.01,
240,76,107,1.03,
235,76,109,1.05,
234,75,109,1.07,
224,74,109,1.09,
224,74,109,1.11,
224,74,110,1.13,
230,75,111,1.15,
224,74,112,1.17,
227,85,114,1.19,
296,84,114,1.20,
284,82,115,1.22,
285,81,116,1.25,
264,80,117,1.27,
248,78,117,1.29,
243,78,118,1.31,
243,78,118,1.33,
243,78,119,1.35,
249,79,119,1.37,
262,83,120,1.38,
277,84,120,1.40,
277,84,120,1.43,
273,84,119,1.45,
277,85,119,1.47,
289,84,119,1.49,
277,84,119,1.51,
282,85,120,1.53,
284,85,121,1.55,
278,85,122,1.57,
278,85,124,1.59,
278,85,124,1.61,
273,84,124,1.63,
278,84,125,1.65,
283,85,126,1.67,
283,86,126,1.69,
304,86,127,1.71,
297,84,128,1.73,
294,85,128,1.76,
298,85,128,1.78,
298,85,128,1.80,
298,86,128,1.82,
278,85,128,1.84,
275,85,129,1.86,
297,85,129,1.88,
297,86,129,1.90,
305,87,130,1.92,
305,86,130,1.94,
295,85,131,1.97,
293,84,131,1.99,
292,85,131,2.01,
289,84,132,2.03,
295,85,132,2.05,
294,86,131,2.07,
301,87,131,2.09,
301,86,132,2.11,
297,85,132,2.13,
291,84,132,2.15,
291,84,133,2.18,
287,85,134,2.20,
287,85,134,2.22,
280,85,134,2.24,
290,86,134,2.26,
281,85,134,2.28,
288,84,134,2.30,
278,83,134,2.32,
275,83,134,2.34,
274,83,133,2.36,
277,83,133,2.38,
276,83,132,2.40,
276,84,131,2.42,
281,83,131,2.44,
277,83,130,2.46,
277,84,130,2.49,
285,86,129,2.51,
294,87,129,2.53,
293,85,129,2.55,
288,85,129,2.57,
288,85,131,2.59,
288,85,131,2.61,
337,78,131,2.63,
290,78,132,2.65,
305,79,132,2.67,
491,54,131,2.69,
327,54,131,2.72,
273,50,131,2.74,
293,51,131,2.76,
299,54,132,2.78,
246,48,132,2.80,
350,48,133,2.82,
269,49,133,2.84,
290,53,133,2.87,
311,51,134,2.89,
287,53,134,2.91,
298,53,135,2.93,
309,52,135,2.95,
292,52,135,2.97,
273,67,135,2.99,
299,67,135,3.01,
317,67,136,3.03,
335,69,135,3.05,
308,68,135,3.08,
325,68,137,3.10,
325,68,137,3.12,
325,68,140,3.14,
325,68,140,3.16,
316,67,141,3.19,
322,67,140,3.21,
316,68,139,3.23,
321,67,137,3.25,
318,67,137,3.27,
307,66,137,3.29,
307,67,137,3.31,
323,68,137,3.34,
324,69,137,3.36,
331,68,137,3.38,
323,68,137,3.40,
349,71,136,3.42,
338,69,136,3.44,
328,68,136,3.47,
314,67,136,3.49,
314,67,136,3.51,
323,69,135,3.53,
329,69,135,3.55,
329,69,135,3.58,
327,68,135,3.60,
309,66,136,3.62,
298,66,136,3.64,
310,67,136,3.66,
310,68,138,3.68,
319,68,138,3.70,
319,68,139,3.73,
319,68,138,3.75,
317,67,138,3.77,
310,67,138,3.79,
311,68,138,3.81,
318,68,137,3.83,
318,68,137,3.85,
310,67,137,3.88,
309,67,136,3.90,
306,66,136,3.92,
300,66,136,3.94,
319,72,136,3.96,
343,71,136,3.98,
334,70,135,4.00,
323,68,135,4.03,
317,68,134,4.05,
317,68,133,4.07,
317,69,135,4.09,
357,72,135,4.11,
332,69,135,4.14,
313,66,136,4.16,
300,66,136,4.18,
300,66,136,4.20,
298,65,135,4.22,
300,66,135,4.24,
301,67,135,4.26,
308,66,135,4.28,
303,67,136,4.31,
309,67,135,4.33,
326,68,133,4.35,
315,68,133,4.37,
322,68,131,4.39,
333,69,130,4.41,
337,68,131,4.44,
312,67,132,4.46,
311,68,132,4.48,
312,68,133,4.50,
318,68,133,4.52,
324,68,135,4.54,
318,67,135,4.57,
326,70,135,4.59,
346,71,134,4.61,
340,69,134,4.63,
322,67,136,4.65,
316,68,137,4.67,
324,69,139,4.70,
332,69,141,4.72,
323,68,141,4.74,
315,67,142,4.76,
315,67,144,4.78,
314,68,144,4.80,
331,69,144,4.83,
331,69,143,4.85,
331,69,142,4.87,
331,69,142,4.89,
333,70,142,4.91,
332,70,141,4.94,
348,72,141,4.96,
331,67,141,4.98,
310,69,140,5.00,
337,71,140,5.02,
347,71,139,5.04,
334,70,139,5.07,
323,68,139,5.09,
316,67,139,5.11,
309,67,139,5.13,
309,67,139,5.15,
308,66,141,5.18,
299,66,141,5.20,
291,65,142,5.22,
299,66,141,5.24,
299,67,141,5.26,
325,69,140,5.28,
325,69,140,5.30,
316,68,140,5.32,
314,68,140,5.35,
327,70,141,5.37,
336,71,142,5.39,
339,71,142,5.41,
339,71,143,5.43,
351,72,142,5.45,
351,72,142,5.48,
342,71,142,5.50,
343,71,141,5.52,
341,67,141,5.54,
308,67,140,5.57,
308,67,139,5.59,
318,69,139,5.61,
334,69,138,5.63,
342,71,139,5.65,
340,71,139,5.67,
339,71,139,5.70,
332,70,138,5.72,
322,68,137,5.74,
307,67,137,5.76,
326,70,138,5.78,
332,70,139,5.80,
332,70,140,5.83,
330,69,140,5.85,
329,70,141,5.87,
330,69,141,5.89,
330,69,142,5.91,
323,68,142,5.94,
290,66,143,5.96,
317,68,142,5.98,
332,69,142,6.00,
336,68,142,6.02,
329,68,143,6.04,
319,69,143,6.07,
341,69,143,6.09,
335,69,142,6.11,
334,69,141,6.13,
387,64,141,6.15,
429,61,141,6.17,
313,52,142,6.20,
308,53,143,6.22,
319,50,143,6.24,
304,56,143,6.26,
361,75,144,6.29,
366,69,144,6.31,
318,69,144,6.33,
330,70,144,6.35,
326,70,145,6.37,
317,69,144,6.40,
318,70,144,6.42,
343,70,144,6.44,
342,70,144,6.46,
350,71,144,6.48,
350,71,145,6.50,
359,72,145,6.53,
359,72,145,6.55,
339,69,145,6.57,
332,68,144,6.59,
308,68,144,6.62,
313,66,143,6.64,
327,71,142,6.66,
301,66,142,6.68,
328,65,142,6.70,
432,63,142,6.72,
402,59,143,6.75,
278,50,144,6.77,
357,56,146,6.79,
335,60,147,6.82,
263,49,146,6.84,
275,51,146,6.86,
326,57,145,6.88,
268,70,145,6.90,
356,70,145,6.92,
347,69,144,6.94,
337,67,144,6.97,
317,66,144,6.99,
321,66,144,7.01,
318,66,144,7.03,
313,65,144,7.05,
305,64,144,7.08,
315,66,144,7.10,
324,67,144,7.12,
324,67,144,7.14,
335,68,144,7.16,
324,67,143,7.18,
329,66,143,7.21,
312,66,142,7.23,
337,68,141,7.25,
343,68,141,7.27,
334,66,142,7.29,
318,65,143,7.31,
311,67,144,7.34,
344,68,144,7.36,
344,68,144,7.38,
350,70,144,7.40,
352,69,144,7.42,
343,68,143,7.45,
334,68,143,7.47,
343,67,143,7.49,
327,69,143,7.51,
342,68,144,7.53,
322,65,143,7.56,
314,64,143,7.58,
305,65,143,7.60,
323,66,143,7.62,
324,67,143,7.64,
333,68,143,7.67,
323,66,143,7.69,
324,67,144,7.71,
332,67,144,7.73,
323,66,144,7.75,
321,65,144,7.77,
291,70,143,7.80,
348,68,141,7.82,
340,67,140,7.84,
332,67,139,7.86,
332,67,139,7.88,
329,65,140,7.91,
314,65,0,7.93,
314,65,0,7.95,
321,65,141,7.97,
321,66,141,7.99,
321,67,142,8.01,
330,65,142,8.03,
310,64,142,8.06,
302,64,142,8.08,
323,66,142,8.10,
322,67,142,8.12,
328,67,142,8.14,
328,67,142,8.16,
440,59,142,8.19,
413,56,142,8.21,
358,52,142,8.23,
335,52,142,8.26,
349,49,142,8.28,
273,69,142,8.30,
350,69,142,8.32,
356,68,142,8.34,
347,67,142,8.37,
335,67,143,8.39,
339,67,143,8.41,
349,68,143,8.43,
354,68,143,8.46,
354,68,143,8.48,
354,69,143,8.50,
364,69,143,8.52,
363,68,144,8.55,
353,67,144,8.57,
344,67,145,8.59,
354,68,145,8.61,
339,67,145,8.63,
334,66,145,8.66,
325,65,145,8.68,
325,65,144,8.70,
323,65,144,8.72,
460,56,144,8.74,
367,55,144,8.77,
412,57,145,8.79,
319,51,145,8.81,
322,57,145,8.84,
287,49,146,8.86,
270,71,147,8.88,
364,70,147,8.90,
355,69,147,8.92,
358,68,148,8.94,
344,67,148,8.97,
352,67,147,8.99,
326,67,147,9.01,
335,67,146,9.03,
335,67,146,9.05,
326,66,146,9.08,
317,65,146,9.10,
333,66,146,9.12,
