,,,
RIDE SUMMARY,,,
Total Time,58.3, Minutes, 
Total Distance,18.02, MI, 
AVG Power,143, ,
MAX Power,334, ,
AVG RPM,66, ,
MAX RPM,100, ,
AVG HR,0, ,
MAX HR,0, ,
CAL,0, ,
,,,
RIDE DATA, ,,
Power, RPM, HR, DISTANCE
152,63,0,5.01
152,63,0,5.02
154,63,0,5.04
154,63,0,5.06
154,63,0,5.08
156,63,0,5.09
181,64,0,5.11
173,62,0,5.13
212,66,0,5.14
182,64,0,5.16
188,62,0,5.18
190,65,0,5.2
193,65,0,5.22
199,64,0,5.23
191,59,0,5.25
167,61,0,5.27
177,62,0,5.29
176,63,0,5.31
176,62,0,5.32
164,62,0,5.34
182,63,0,5.36
193,65,0,5.38
193,63,0,5.39
191,63,0,5.41
187,63,0,5.43
187,63,0,5.45
185,63,0,5.47
188,64,0,5.48
191,61,0,5.5
174,60,0,5.52
177,62,0,5.54
183,63,0,5.55
187,63,0,5.57
187,63,0,5.59
187,63,0,5.61
203,66,0,5.63
192,64,0,5.64
181,62,0,5.66
181,63,0,5.68
187,63,0,5.7
187,63,0,5.71
187,63,0,5.73
186,63,0,5.75
185,64,0,5.77
190,63,0,5.79
183,61,0,5.8
169,60,0,5.82
157,57,0,5.84
155,60,0,5.86
124,75,0,5.87
125,76,0,5.89
74,78,0,5.9
90,88,0,5.92
91,90,0,5.93
95,91,0,5.95
96,91,0,5.96
97,91,0,5.98
98,91,0,5.99
97,90,0,6
114,98,0,6.02
119,100,0,6.03
119,100,0,6.05
149,87,0,6.06
140,85,0,6.08
161,80,0,6.09
160,70,0,6.11
152,70,0,6.13
137,66,0,6.14
144,68,0,6.16
223,85,0,6.18
223,86,0,6.19
216,85,0,6.21
266,81,0,6.23
231,77,0,6.25
220,75,0,6.27
222,76,0,6.29
222,76,0,6.31
216,74,0,6.33
207,73,0,6.35
205,72,0,6.36
201,72,0,6.38
196,71,0,6.4
195,70,0,6.42
161,63,0,6.44
156,62,0,6.46
155,61,0,6.47
147,60,0,6.49
143,59,0,6.51
140,57,0,6.52
139,57,0,6.54
139,57,0,6.55
131,56,0,6.57
135,56,0,6.59
144,58,0,6.6
135,61,0,6.62
135,61,0,6.63
135,60,0,6.65
127,59,0,6.67
128,64,0,6.68
110,57,0,6.7
119,57,0,6.71
119,57,0,6.73
123,58,0,6.74
151,64,0,6.76
146,63,0,6.77
140,72,0,6.79
183,73,0,6.81
184,72,0,6.82
164,71,0,6.84
173,70,0,6.86
179,72,0,6.88
182,73,0,6.89
186,72,0,6.91
187,73,0,6.93
197,76,0,6.95
206,78,0,6.97
209,77,0,6.98
195,74,0,7
186,72,0,7.02
182,72,0,7.04
181,71,0,7.06
177,71,0,7.07
176,70,0,7.09
173,70,0,7.11
173,70,0,7.13
171,68,0,7.14
153,64,0,7.16
141,61,0,7.18
129,59,0,7.2
125,58,0,7.21
122,58,0,7.23
122,58,0,7.24
160,67,0,7.26
160,67,0,7.27
160,67,0,7.29
154,67,0,7.31
143,81,0,7.32
168,79,0,7.34
166,77,0,7.36
151,75,0,7.37
151,75,0,7.39
151,75,0,7.41
150,75,0,7.42
150,75,0,7.44
146,74,0,7.46
146,74,0,7.47
146,74,0,7.49
146,74,0,7.51
146,76,0,7.52
187,85,0,7.54
198,84,0,7.56
181,83,0,7.57
192,82,0,7.59
190,82,0,7.61
175,81,0,7.63
181,80,0,7.65
165,79,0,7.66
175,78,0,7.68
162,78,0,7.7
171,78,0,7.72
171,78,0,7.73
170,78,0,7.75
171,78,0,7.77
170,76,0,7.78
162,74,0,7.8
144,73,0,7.82
161,71,0,7.84
156,69,0,7.85
