
RIDE SUMMARY,
Total Time, 47.1, Minutes, 
Total Distance, 19.60, MI, 
AVG Power, 297, 
MAX Power, 760, 
AVG RPM, 69, 
MAX RPM, 94, 
AVG HR, 136, 
MAX HR, 161, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 44.2, Minutes, 
Total Distance, -nan, MI, 
AVG Power, 310, 
MAX Power, 760, 
AVG HR, 139, 
MAX HR, 161, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
100,76,0,0.00,
100,77,0,0.00,
101,77,0,0.02,
101,76,0,0.03,
91,75,0,0.05,
97,75,37,0.06,
94,74,57,0.08,
92,74,78,0.09,
96,75,80,0.10,
136,77,81,0.12,
136,77,82,0.13,
130,75,82,0.15,
118,71,79,0.16,
114,69,78,0.18,
109,68,78,0.19,
108,67,78,0.21,
105,67,79,0.22,
105,66,80,0.24,
105,67,81,0.25,
105,67,81,0.27,
105,67,83,0.28,
105,67,83,0.30,
105,67,83,0.31,
105,67,85,0.32,
104,66,86,0.34,
102,66,87,0.35,
102,66,87,0.37,
102,66,88,0.38,
102,66,88,0.40,
111,66,89,0.41,
111,66,89,0.43,
111,66,88,0.44,
111,66,87,0.45,
109,66,86,0.47,
107,65,86,0.48,
106,65,86,0.50,
105,65,85,0.51,
108,65,85,0.53,
105,65,84,0.54,
100,65,84,0.56,
108,66,84,0.57,
111,67,84,0.59,
111,67,83,0.60,
110,67,82,0.62,
110,67,82,0.63,
105,67,82,0.64,
110,67,83,0.66,
110,67,84,0.67,
110,67,84,0.69,
109,68,0,0.70,
112,68,84,0.72,
112,68,84,0.73,
115,70,84,0.75,
118,71,83,0.76,
121,71,83,0.78,
120,70,83,0.79,
118,70,84,0.81,
118,70,85,0.82,
148,87,85,0.84,
256,86,85,0.85,
245,83,86,0.87,
231,81,86,0.89,
231,81,87,0.91,
226,80,88,0.93,
221,79,90,0.95,
189,79,92,0.97,
201,80,95,0.99,
224,84,97,1.01,
224,86,103,1.02,
231,85,103,1.04,
226,84,103,1.06,
223,85,104,1.08,
240,88,104,1.10,
230,85,105,1.12,
213,82,106,1.14,
226,84,109,1.16,
253,91,111,1.18,
252,90,113,1.20,
244,89,115,1.22,
243,88,115,1.24,
259,88,117,1.26,
263,88,120,1.28,
251,87,122,1.30,
242,85,122,1.32,
237,84,121,1.34,
237,84,120,1.36,
256,84,120,1.37,
260,86,120,1.39,
251,87,119,1.41,
251,87,119,1.43,
266,86,119,1.45,
260,87,118,1.47,
273,88,117,1.49,
269,87,117,1.51,
268,86,117,1.53,
253,86,118,1.55,
238,85,117,1.57,
257,85,117,1.59,
252,84,0,1.61,
250,84,116,1.63,
256,85,116,1.65,
256,86,114,1.67,
264,88,114,1.69,
280,90,115,1.71,
280,90,119,1.73,
274,89,122,1.76,
264,87,124,1.78,
259,86,125,1.80,
264,87,125,1.82,
263,87,125,1.84,
258,86,125,1.86,
235,83,126,1.88,
238,83,127,1.90,
277,89,128,1.92,
273,89,128,1.94,
273,89,129,1.96,
273,90,129,1.98,
274,90,130,2.00,
330,91,130,2.02,
335,91,130,2.04,
342,93,130,2.06,
336,92,130,2.08,
325,90,129,2.10,
312,88,128,2.13,
312,88,130,2.15,
310,88,130,2.17,
308,87,133,2.19,
286,84,138,2.21,
290,83,138,2.23,
279,83,136,2.25,
285,84,134,2.27,
290,85,130,2.30,
290,85,130,2.32,
310,84,132,2.34,
540,58,134,2.36,
323,57,135,2.38,
312,56,137,2.40,
320,56,137,2.43,
260,55,131,2.45,
309,54,131,2.47,
301,54,130,2.49,
301,55,133,2.51,
308,55,136,2.53,
319,55,136,2.55,
300,54,138,2.57,
245,49,139,2.59,
342,58,139,2.62,
340,57,139,2.64,
318,55,139,2.66,
318,56,139,2.68,
267,51,139,2.70,
277,52,139,2.72,
278,58,139,2.74,
246,49,138,2.76,
304,54,138,2.78,
286,53,138,2.80,
306,50,138,2.83,
267,52,138,2.85,
277,53,138,2.87,
256,50,138,2.89,
263,64,139,2.91,
309,65,139,2.93,
311,67,139,2.95,
330,68,139,2.97,
319,67,138,2.99,
310,66,138,3.01,
310,66,137,3.04,
310,66,137,3.06,
305,55,137,3.08,
314,56,136,3.10,
336,58,136,3.12,
335,57,135,3.14,
325,57,135,3.17,
321,49,136,3.19,
303,54,137,3.21,
292,53,138,3.23,
312,49,139,3.25,
254,50,140,3.27,
227,54,140,3.29,
353,69,141,3.31,
346,67,141,3.33,
314,66,142,3.36,
314,66,142,3.38,
320,65,142,3.40,
309,64,142,3.42,
319,65,141,3.44,
319,65,139,3.46,
317,64,138,3.49,
309,64,138,3.51,
307,64,138,3.53,
307,64,138,3.55,
434,54,137,3.57,
333,53,136,3.59,
309,51,136,3.62,
377,55,135,3.64,
287,49,135,3.66,
282,66,135,3.68,
359,75,136,3.70,
348,73,137,3.72,
325,71,137,3.74,
315,69,137,3.77,
309,69,138,3.79,
310,69,141,3.81,
310,69,142,3.83,
310,70,143,3.85,
482,68,144,3.87,
391,59,144,3.90,
282,51,143,3.92,
341,53,142,3.94,
372,59,141,3.96,
337,56,140,3.99,
315,54,140,4.01,
293,52,140,4.03,
315,54,139,4.05,
283,51,139,4.07,
284,52,139,4.09,
302,59,139,4.11,
353,74,139,4.14,
290,66,140,4.16,
304,67,142,4.18,
312,68,141,4.20,
295,67,140,4.22,
292,66,139,4.24,
292,67,138,4.26,
291,67,138,4.28,
294,68,0,4.31,
317,69,138,4.33,
316,68,138,4.35,
316,68,136,4.37,
307,67,135,4.39,
307,67,135,4.41,
294,66,134,4.43,
363,65,133,4.45,
328,54,133,4.48,
340,55,134,4.50,
339,55,134,4.52,
339,55,135,4.54,
320,53,135,4.56,
316,52,134,4.59,
304,53,134,4.61,
296,51,135,4.63,
231,69,136,4.65,
308,69,137,4.67,
308,69,136,4.69,
300,68,135,4.71,
287,66,134,4.74,
283,66,134,4.76,
285,66,134,4.78,
297,66,135,4.80,
269,71,136,4.82,
327,82,137,4.84,
343,82,139,4.86,
343,82,140,4.88,
334,80,141,4.91,
329,80,142,4.93,
320,80,142,4.95,
326,80,142,4.97,
327,81,143,4.99,
331,81,143,5.02,
325,80,144,5.04,
324,80,143,5.06,
323,80,142,5.08,
321,80,143,5.10,
316,79,142,5.12,
309,78,142,5.15,
298,77,141,5.17,
305,77,142,5.19,
300,77,142,5.21,
300,77,143,5.23,
300,77,143,5.25,
309,78,143,5.27,
320,77,143,5.29,
316,75,143,5.32,
307,75,143,5.34,
323,75,144,5.36,
315,74,146,5.38,
315,74,146,5.40,
323,75,146,5.42,
315,74,145,5.44,
308,73,143,5.47,
337,77,144,5.49,
331,78,142,5.51,
284,70,142,5.53,
285,71,142,5.55,
292,71,141,5.57,
291,71,140,5.59,
289,71,141,5.62,
298,72,141,5.64,
286,71,141,5.66,
292,72,141,5.68,
327,76,141,5.70,
343,78,141,5.72,
332,77,142,5.74,
324,75,143,5.76,
318,75,143,5.79,
318,75,143,5.81,
318,75,142,5.83,
318,75,142,5.85,
318,75,141,5.87,
318,75,141,5.89,
317,75,140,5.92,
316,75,140,5.94,
317,75,140,5.96,
324,76,140,5.98,
317,75,140,6.00,
309,74,140,6.02,
308,75,139,6.04,
309,75,139,6.07,
322,76,139,6.09,
322,76,139,6.11,
330,77,139,6.13,
322,76,139,6.15,
320,76,139,6.17,
315,75,140,6.20,
307,74,140,6.22,
307,74,140,6.24,
315,75,141,6.26,
315,75,141,6.28,
307,74,141,6.30,
300,73,141,6.32,
300,73,142,6.35,
307,74,142,6.37,
307,74,142,6.39,
307,74,0,6.41,
313,75,141,6.43,
314,75,140,6.45,
318,75,140,6.47,
306,74,139,6.50,
303,73,138,6.52,
298,73,139,6.54,
298,73,139,6.56,
307,75,139,6.58,
314,75,138,6.60,
349,75,138,6.62,
433,65,137,6.64,
421,63,137,6.67,
317,55,137,6.69,
317,55,137,6.72,
333,57,138,6.74,
277,51,139,6.76,
305,53,140,6.78,
316,55,141,6.80,
360,58,142,6.82,
268,50,143,6.85,
367,72,143,6.87,
367,70,143,6.89,
318,67,143,6.91,
310,66,142,6.93,
318,67,142,6.95,
334,69,142,6.98,
334,69,142,7.00,
435,69,142,7.02,
450,65,144,7.04,
383,60,145,7.06,
345,53,146,7.09,
359,58,146,7.11,
336,56,146,7.13,
324,55,146,7.16,
315,55,146,7.18,
374,75,146,7.20,
357,73,147,7.22,
339,71,147,7.24,
322,69,147,7.26,
315,69,147,7.29,
316,69,147,7.31,
323,70,146,7.33,
338,69,145,7.35,
443,63,146,7.37,
253,48,148,7.40,
359,56,148,7.42,
301,51,149,7.44,
371,57,149,7.46,
282,50,148,7.48,
261,62,148,7.51,
350,72,148,7.53,
324,72,148,7.55,
314,70,148,7.57,
308,69,148,7.59,
299,69,147,7.61,
300,68,147,7.63,
317,70,146,7.66,
324,70,146,7.68,
321,69,146,7.70,
313,69,147,7.72,
322,70,147,7.74,
323,71,147,7.76,
320,71,147,7.79,
319,71,147,7.81,
301,70,147,7.83,
315,69,146,7.85,
307,68,146,7.87,
302,69,146,7.89,
307,68,145,7.91,
301,68,144,7.94,
293,67,144,7.96,
301,68,143,7.98,
317,70,143,8.00,
325,71,143,8.02,
323,70,142,8.04,
318,71,142,8.06,
296,73,142,8.08,
348,83,142,8.11,
357,84,141,8.13,
341,85,141,8.15,
343,84,141,8.17,
335,83,141,8.19,
317,82,142,8.22,
321,82,142,8.24,
342,82,142,8.26,
337,82,142,8.28,
335,83,142,8.30,
343,83,142,8.33,
341,82,142,8.35,
328,81,143,8.37,
326,81,143,8.39,
325,81,143,8.41,
325,81,143,8.44,
323,81,144,8.46,
322,81,145,8.48,
323,80,145,8.50,
314,79,144,8.52,
303,78,144,8.54,
296,77,143,8.56,
297,77,143,8.59,
303,78,143,8.61,
303,77,143,8.63,
328,76,143,8.65,
402,65,143,8.67,
378,62,143,8.69,
326,58,143,8.72,
305,56,141,8.74,
305,56,141,8.76,
316,57,142,8.78,
327,59,143,8.81,
316,57,145,8.83,
285,54,146,8.85,
273,54,147,8.87,
353,76,148,8.89,
351,75,148,8.91,
343,74,148,8.93,
329,73,0,8.96,
319,71,0,8.98,
314,71,148,9.00,
313,70,148,9.02,
311,71,148,9.04,
321,72,148,9.06,
321,72,149,9.08,
321,72,150,9.11,
329,73,150,9.13,
329,73,150,9.15,
329,73,149,9.17,
327,72,147,9.19,
325,73,147,9.22,
334,71,147,9.24,
353,54,146,9.26,
341,53,147,9.28,
343,53,147,9.30,
339,57,146,9.33,
272,47,146,9.35,
339,52,145,9.37,
341,53,145,9.39,
332,53,145,9.41,
328,47,145,9.44,
308,54,146,9.46,
251,70,146,9.48,
321,74,146,9.50,
321,74,146,9.52,
313,73,147,9.54,
301,72,147,9.56,
304,72,147,9.59,
304,72,148,9.61,
302,71,148,9.63,
296,71,148,9.65,
305,73,148,9.67,
315,73,0,9.69,
303,72,148,9.71,
303,72,147,9.74,
310,73,142,9.76,
318,74,140,9.78,
318,74,139,9.80,
316,73,139,9.82,
312,73,139,9.84,
363,72,139,9.86,
341,70,139,9.89,
327,68,139,9.91,
321,68,140,9.93,
329,69,141,9.95,
324,66,141,9.97,
304,66,143,10.00,
304,66,143,10.02,
305,67,143,10.04,
312,68,143,10.06,
328,69,143,10.08,
326,69,143,10.10,
315,68,143,10.12,
318,68,143,10.15,
302,69,143,10.17,
311,69,143,10.19,
317,68,142,10.21,
333,70,142,10.23,
322,68,142,10.25,
307,67,142,10.27,
307,67,142,10.30,
308,67,142,10.32,
310,68,141,10.34,
316,68,141,10.36,
314,67,141,10.38,
299,66,141,10.40,
300,67,142,10.42,
308,68,142,10.45,
324,69,142,10.47,
324,69,142,10.49,
316,68,142,10.51,
316,68,142,10.53,
314,68,141,10.55,
314,68,141,10.57,
