
RIDE SUMMARY,
Total Time, 49.5, Minutes, 
Total Distance, 24.68, MI, 
AVG Power, 251,
MAX Power, 498,
AVG RPM, 71,
MAX RPM, 112,
AVG HR, 0,
MAX HR, 0,
CAL, 0,

STAGE_1_SUMMARY,
Stage Time, 46.6, Minutes,
Total Distance, 23.98, MI,
AVG Power, 257,
MAX Power, 498,
AVG HR, 0,
MAX HR, 0,

RIDE DATA,
Power, RPM, HR, DISTANCE,
311,90,147,7.14
299,89,146,7.17
298,88,146,7.2
281,74,146,7.23
266,83,147,7.26
265,84,146,7.29
294,88,147,7.31
299,89,146,7.34
281,85,146,7.37
238,78,146,7.4
275,83,145,7.43
263,83,145,7.45
264,83,145,7.48
269,84,144,7.51
286,87,143,7.53
171,87,146,7.56
199,100,145,7.59
205,99,144,7.6
195,97,143,7.62
177,93,139,7.64
296,67,140,7.66
326,74,142,7.68
308,71,143,7.71
265,66,143,7.74
184,55,142,7.77
239,64,142,7.8
282,67,141,7.82
195,57,140,7.84
263,66,141,7.87
207,58,142,7.89
208,59,143,7.91
223,61,142,7.93
244,63,143,7.96
205,58,142,7.98
237,62,142,8
233,62,142,8.02
245,72,142,8.05
199,58,141,8.07
225,73,140,8.1
203,57,139,8.12
243,59,137,8.14
273,70,136,8.17
343,69,135,8.19
319,67,136,8.22
253,60,136,8.26
251,60,137,8.29
235,58,138,8.31
230,56,139,8.34
319,67,139,8.36
253,59,140,8.38
294,64,140,8.41
293,65,141,8.44
319,67,140,8.47
306,58,141,8.5
310,66,140,8.53
301,65,141,8.56
284,63,142,8.58
243,58,141,8.61
243,58,142,8.64
235,57,142,8.67
244,68,142,8.69
317,67,141,8.71
235,57,142,8.74
243,58,144,8.78
251,59,144,8.8
283,63,144,8.83
241,57,144,8.85
306,66,144,8.88
212,55,144,8.9
241,58,144,8.93
295,73,144,8.95
356,71,144,8.98
249,59,144,9.01
233,57,144,9.04
249,59,144,9.07
265,62,144,9.09
275,62,143,9.12
277,62,143,9.15
217,55,139,9.17
333,67,142,9.2
263,61,143,9.22
263,61,144,9.26
264,62,143,9.28
225,57,144,9.31
271,61,144,9.34
230,64,143,9.36
286,63,144,9.38
249,59,144,9.41
283,64,144,9.44
271,62,143,9.47
264,61,143,9.5
257,61,144,9.52
302,65,143,9.55
237,57,143,9.58
332,66,143,9.61
237,57,144,9.63
238,58,144,9.66
246,59,145,9.68
239,64,144,9.71
286,64,144,9.73
281,61,143,9.76
233,57,144,9.79
231,58,144,9.82
333,69,144,9.84
272,61,144,9.86
250,59,144,9.89
315,67,143,9.92
287,65,144,9.95
277,60,143,9.98
211,54,144,10.01
220,57,143,10.03
233,57,144,10.05
226,57,144,10.08
226,56,144,10.1
232,57,144,10.12
233,57,143,10.15
230,55,144,10.17
214,55,143,10.19
247,59,143,10.21
245,58,143,10.24
224,56,143,10.26
210,54,143,10.29
225,57,142,10.31
255,60,142,10.33
259,58,142,10.35
263,61,141,10.38
399,76,141,10.4
392,76,141,10.43
392,76,141,10.47
361,71,140,10.51
234,56,140,10.55
414,77,140,10.58
385,75,139,10.61
366,71,140,10.65
436,79,139,10.69
416,78,141,10.72
220,55,143,10.77
229,57,142,10.81
247,60,145,10.83
268,61,145,10.85
271,61,146,10.88
260,61,146,10.91
210,54,147,10.93
214,54,148,10.96
242,57,149,10.98
234,56,149,11
222,55,149,11.03
220,52,147,11.05
285,63,147,11.07
242,57,146,11.09
488,81,146,11.12
479,80,146,11.14
480,79,146,11.19
454,77,146,11.24
454,76,144,11.28
412,74,145,11.33
410,74,144,11.37
410,73,144,11.41
409,71,146,11.46
400,72,147,11.5
369,68,147,11.54
387,70,148,11.58
332,76,150,11.61
353,75,151,11.65
353,75,154,11.68
348,74,154,11.72
348,74,153,11.76
346,73,155,11.79
340,73,155,11.82
319,69,154,11.86
201,58,152,11.89
341,74,153,11.92
341,74,155,11.95
335,73,155,11.98
327,72,155,12.01
318,71,154,12.05
317,71,156,12.08
319,72,154,12.11
325,73,154,12.14
330,72,155,12.18
316,71,154,12.21
308,70,154,12.24
309,70,154,12.27
324,72,154,12.3
325,73,153,12.34
324,71,154,12.37
308,70,153,12.4
298,68,154,12.43
308,70,155,12.46
332,73,154,12.49
330,72,154,12.52
322,71,153,12.56
314,70,153,12.59
314,71,156,12.62
318,71,154,12.65
264,70,153,12.68
194,61,155,12.72
211,63,155,12.74
217,64,154,12.76
209,61,151,12.78
201,61,152,12.8
317,52,153,12.82
252,52,151,12.85
257,53,151,12.87
256,54,150,12.9
311,59,149,12.92
223,49,147,12.95
228,49,148,12.98
246,52,147,13.01
343,61,148,13.03
254,52,150,13.06
254,53,149,13.09
264,54,148,13.12
279,55,148,13.14
251,52,149,13.17
242,51,149,13.2
209,47,148,13.22
299,57,148,13.24
218,49,148,13.27
329,60,148,13.3
292,56,148,13.32
278,54,148,13.36
270,54,148,13.38
298,57,148,13.41
320,60,148,13.44
330,56,147,13.47
164,62,148,13.5
249,91,148,13.53
279,91,148,13.55
273,89,148,13.58
271,86,146,13.61
239,83,147,13.64
237,85,146,13.66
295,91,145,13.69
283,90,142,13.71
293,91,142,13.74
288,90,144,13.77
294,91,148,13.8
294,91,149,13.83
297,90,149,13.86
202,99,150,13.89
241,111,150,13.91
242,111,150,13.93
245,109,150,13.96
232,103,150,13.98
228,103,149,14
249,108,149,14.03
311,109,149,14.05
327,101,148,14.07
324,100,147,14.1
298,100,147,14.14
350,98,148,14.17
318,95,148,14.2
309,91,148,14.23
294,90,149,14.27
289,88,149,14.3
326,88,148,14.33
241,67,149,14.35
338,81,148,14.39
321,78,148,14.41
336,75,149,14.45
284,73,151,14.48
103,71,150,14.51
167,91,149,14.54
167,91,150,14.55
167,91,147,14.57
170,92,148,14.58
167,91,148,14.6
165,89,147,14.62
157,88,147,14.64
334,61,146,14.65
285,59,145,14.67
223,53,144,14.7
258,56,144,14.72
275,58,144,14.75
288,56,143,14.77
269,55,144,14.8
207,46,144,14.83
262,51,143,14.86
260,51,143,14.88
260,51,143,14.9
262,51,143,14.93
261,50,143,14.96
258,50,143,14.98
257,49,143,15.01
270,49,143,15.04
234,46,143,15.06
243,47,144,15.09
312,52,143,15.11
263,49,144,15.14
261,49,143,15.17
264,49,144,15.19
248,46,144,15.22
244,48,145,15.25
263,49,146,15.27
253,48,146,15.3
244,48,145,15.32
294,52,146,15.35
318,59,144,15.37
202,43,144,15.4
222,45,144,15.44
292,47,144,15.46
232,47,144,15.49
261,49,144,15.51
253,50,144,15.54
229,46,145,15.56
323,55,145,15.59
291,52,146,15.61
279,50,145,15.64
221,45,144,15.67
232,47,145,15.7
357,53,147,15.72
294,54,146,15.75
302,53,146,15.78
302,53,147,15.81
281,51,148,15.84
270,50,148,15.87
257,47,147,15.9
221,45,147,15.92
241,48,148,15.95
256,47,149,15.97
231,46,150,16
230,47,149,16.02
281,51,149,16.04
302,53,149,16.07
