
RIDE SUMMARY,
Total Time, 48.3, Minutes, 
Total Distance, 27.33, MI, 
AVG Power, 285, 
MAX Power, 568, 
AVG RPM, 73, 
MAX RPM, 111, 
AVG HR, 130, 
MAX HR, 165, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 41.9, Minutes, 
Total Distance, 25.05, MI, 
AVG Power, 299, 
MAX Power, 568, 
AVG HR, 135, 
MAX HR, 165, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
129,71,0,0.00,
168,79,0,0.00,
166,78,0,0.02,
161,78,0,0.03,
159,77,37,0.05,
159,78,76,0.07,
165,79,78,0.08,
165,79,79,0.10,
173,81,82,0.12,
175,81,83,0.13,
185,81,84,0.15,
148,79,85,0.17,
152,81,87,0.19,
165,84,90,0.20,
165,84,95,0.22,
164,83,97,0.23,
158,83,95,0.25,
162,83,92,0.27,
191,89,90,0.28,
155,81,86,0.30,
155,81,86,0.32,
154,81,85,0.33,
166,81,83,0.35,
170,82,82,0.36,
156,83,83,0.38,
170,84,84,0.40,
166,84,85,0.41,
159,83,86,0.43,
159,83,86,0.45,
158,83,85,0.46,
157,80,85,0.48,
148,80,85,0.49,
158,80,88,0.51,
165,82,91,0.52,
169,83,93,0.54,
168,82,95,0.56,
165,82,96,0.57,
162,81,95,0.59,
162,81,96,0.61,
162,81,97,0.62,
164,82,98,0.64,
169,83,98,0.66,
169,83,98,0.67,
165,82,98,0.69,
164,81,97,0.71,
162,82,97,0.72,
163,81,96,0.74,
169,83,94,0.76,
170,85,93,0.77,
169,84,93,0.79,
172,84,90,0.81,
172,84,89,0.82,
180,86,89,0.84,
179,85,89,0.86,
172,84,89,0.88,
165,82,89,0.89,
172,84,90,0.91,
171,84,91,0.93,
161,80,93,0.95,
157,80,93,0.96,
169,83,94,0.98,
172,84,95,0.99,
165,82,97,1.01,
165,83,98,1.03,
167,83,99,1.04,
161,83,99,1.06,
161,82,97,1.08,
164,83,95,1.09,
174,85,93,1.11,
171,84,91,1.13,
171,84,91,1.14,
171,85,91,1.16,
182,87,89,1.18,
185,88,89,1.20,
189,90,92,1.21,
192,90,92,1.23,
178,87,94,1.25,
160,86,93,1.27,
173,84,93,1.29,
164,82,94,1.31,
156,79,94,1.32,
152,79,94,1.34,
156,80,94,1.35,
162,80,92,1.37,
190,83,92,1.39,
205,87,95,1.40,
267,89,94,1.42,
250,86,96,1.44,
235,83,97,1.47,
237,85,98,1.50,
253,86,100,1.52,
250,86,101,1.54,
241,85,102,1.57,
240,83,103,1.59,
182,72,103,1.62,
247,84,105,1.64,
242,85,105,1.66,
237,84,106,1.69,
246,85,106,1.71,
247,86,106,1.73,
237,84,107,1.76,
242,85,108,1.78,
242,86,107,1.81,
236,83,108,1.83,
236,82,107,1.86,
226,82,107,1.88,
237,85,108,1.90,
246,87,108,1.92,
251,88,109,1.95,
255,90,109,1.97,
270,92,110,2.00,
285,93,111,2.03,
305,95,111,2.05,
289,92,111,2.08,
285,92,110,2.11,
287,93,110,2.14,
289,92,113,2.17,
250,89,114,2.20,
262,86,117,2.22,
252,86,116,2.25,
240,84,116,2.28,
246,85,114,2.30,
271,89,113,2.32,
280,88,113,2.35,
330,85,112,2.38,
278,81,111,2.41,
284,82,110,2.44,
303,85,108,2.47,
309,86,105,2.50,
285,85,104,2.53,
288,85,104,2.56,
298,85,107,2.59,
297,84,111,2.62,
298,85,115,2.65,
299,85,120,2.68,
318,89,120,2.71,
318,88,121,2.74,
323,89,122,2.77,
329,90,124,2.80,
329,90,124,2.83,
374,90,124,2.87,
350,90,125,2.90,
364,89,124,2.94,
343,86,124,2.97,
333,83,124,3.01,
318,83,125,3.04,
307,81,128,3.08,
294,79,129,3.11,
286,78,130,3.14,
298,80,130,3.17,
305,81,130,3.20,
338,86,132,3.23,
254,73,133,3.26,
255,74,134,3.29,
269,75,134,3.31,
292,67,134,3.34,
344,61,133,3.37,
363,66,132,3.40,
277,57,132,3.44,
287,59,133,3.47,
285,59,133,3.50,
294,59,134,3.53,
294,63,134,3.56,
322,63,133,3.59,
299,60,131,3.62,
289,59,130,3.65,
274,58,131,3.68,
238,53,132,3.71,
256,56,133,3.74,
255,55,133,3.76,
347,65,133,3.79,
347,65,133,3.82,
337,64,134,3.85,
339,64,135,3.89,
308,61,135,3.92,
299,60,136,3.95,
278,57,136,3.99,
272,57,136,4.02,
280,58,136,4.04,
273,58,136,4.07,
271,56,137,4.10,
254,55,138,4.13,
306,60,140,4.15,
245,54,142,4.18,
361,60,143,4.21,
348,59,143,4.24,
275,52,142,4.27,
306,53,142,4.31,
393,59,142,4.34,
307,51,141,4.37,
254,52,140,4.41,
289,55,139,4.43,
237,51,139,4.46,
264,55,0,4.49,
319,60,137,4.51,
342,63,132,4.54,
263,55,130,4.57,
276,56,130,4.60,
363,63,131,4.63,
279,56,133,4.66,
277,56,133,4.69,
278,56,134,4.72,
299,59,134,4.75,
243,52,135,4.78,
251,53,136,4.81,
297,58,136,4.83,
326,60,137,4.86,
333,60,137,4.89,
264,55,137,4.92,
277,57,137,4.95,
295,58,137,4.98,
281,55,137,5.00,
312,59,138,5.03,
312,59,138,5.06,
313,59,138,5.09,
277,57,138,5.12,
