
RIDE SUMMARY,
Total Time, 53.3, Minutes, 
Total Distance, 22.32, MI, 
AVG Power, 301, 
MAX Power, 570, 
AVG RPM, 70, 
MAX RPM, 100, 
AVG HR, 134, 
MAX HR, 154, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 47.1, Minutes, 
Total Distance, -nan, MI, 
AVG Power, 322, 
MAX Power, 570, 
AVG HR, 140, 
MAX HR, 154, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
120,66,0,0.00,
128,66,0,0.00,
133,67,0,0.02,
136,68,0,0.04,
133,67,0,0.05,
129,66,0,0.07,
126,65,37,0.08,
126,66,37,0.10,
129,66,75,0.11,
133,67,75,0.13,
126,65,77,0.15,
125,64,77,0.16,
122,64,78,0.18,
119,63,78,0.19,
119,63,81,0.21,
118,62,82,0.22,
111,63,83,0.24,
117,62,86,0.25,
111,61,87,0.27,
115,62,88,0.28,
118,63,89,0.30,
118,63,91,0.31,
118,63,92,0.33,
118,64,92,0.34,
122,64,94,0.36,
118,63,94,0.37,
118,63,94,0.39,
118,63,95,0.40,
118,63,95,0.42,
118,63,97,0.43,
119,65,98,0.45,
121,64,99,0.46,
121,64,98,0.48,
125,65,96,0.50,
125,65,94,0.51,
121,64,92,0.53,
121,64,91,0.54,
114,65,90,0.56,
124,65,89,0.57,
123,65,88,0.59,
122,65,88,0.60,
122,65,87,0.62,
123,65,87,0.63,
123,66,86,0.65,
127,66,85,0.66,
126,65,85,0.68,
123,65,86,0.70,
123,65,86,0.71,
125,67,86,0.73,
141,70,86,0.74,
130,67,85,0.76,
130,67,85,0.77,
152,73,85,0.79,
148,72,86,0.80,
143,70,87,0.82,
133,68,89,0.84,
132,67,89,0.85,
130,67,89,0.87,
130,68,89,0.88,
133,69,90,0.90,
136,69,90,0.92,
135,70,90,0.93,
139,70,89,0.95,
138,69,88,0.96,
135,69,88,0.98,
135,70,90,1.00,
135,69,92,1.01,
134,69,93,1.03,
134,70,92,1.04,
134,69,92,1.06,
133,69,93,1.08,
133,69,93,1.09,
134,69,93,1.11,
134,69,92,1.12,
138,70,92,1.14,
141,71,92,1.16,
145,72,93,1.17,
145,72,94,1.19,
145,72,94,1.20,
145,73,95,1.22,
146,73,95,1.24,
145,72,96,1.25,
140,70,96,1.27,
138,70,96,1.29,
138,70,96,1.30,
141,71,96,1.32,
145,72,96,1.33,
141,71,96,1.35,
140,70,96,1.37,
137,75,96,1.38,
152,74,96,1.40,
148,73,96,1.41,
143,75,97,1.43,
154,72,97,1.45,
145,72,98,1.46,
145,72,99,1.48,
144,71,98,1.50,
141,72,98,1.51,
141,71,98,1.53,
141,71,98,1.55,
138,70,98,1.56,
138,70,97,1.58,
138,70,96,1.59,
141,71,96,1.61,
147,72,95,1.63,
147,73,94,1.64,
147,73,93,1.66,
147,73,94,1.67,
152,74,94,1.69,
145,72,95,1.71,
145,72,95,1.72,
149,75,94,1.74,
190,84,93,1.76,
189,84,91,1.77,
185,82,91,1.79,
177,80,91,1.81,
251,85,88,1.83,
264,83,87,1.85,
243,80,86,1.86,
232,77,86,1.88,
222,76,86,1.90,
220,76,87,1.92,
220,76,89,1.94,
227,77,96,1.96,
237,79,99,1.98,
241,80,100,2.00,
248,82,103,2.02,
264,84,110,2.04,
275,86,113,2.06,
275,86,113,2.08,
275,86,112,2.10,
275,86,111,2.12,
275,86,112,2.14,
269,85,113,2.16,
264,84,119,2.18,
269,85,121,2.20,
275,87,122,2.22,
280,87,122,2.24,
275,86,123,2.26,
269,85,123,2.28,
264,84,124,2.30,
258,83,124,2.32,
258,83,125,2.34,
258,83,125,2.36,
273,91,125,2.38,
297,90,125,2.40,
290,88,126,2.43,
280,87,126,2.45,
280,87,126,2.47,
279,86,126,2.49,
269,85,126,2.51,
269,85,127,2.53,
264,84,128,2.55,
269,85,128,2.57,
269,85,129,2.59,
268,84,129,2.61,
269,86,128,2.63,
278,88,129,2.65,
283,88,129,2.67,
288,89,130,2.69,
347,89,130,2.71,
321,86,130,2.73,
303,84,130,2.76,
291,82,130,2.78,
285,81,130,2.80,
279,80,130,2.82,
303,84,131,2.84,
297,83,131,2.86,
291,82,131,2.88,
291,82,131,2.90,
290,82,131,2.92,
285,81,132,2.95,
296,81,132,2.97,
284,81,133,2.99,
289,82,133,3.01,
307,82,133,3.03,
306,82,134,3.05,
314,83,135,3.07,
314,83,134,3.09,
312,82,134,3.11,
300,81,133,3.13,
301,82,132,3.16,
306,82,132,3.18,
299,81,133,3.20,
299,81,133,3.22,
306,82,134,3.24,
306,82,134,3.26,
306,82,135,3.28,
303,81,135,3.30,
299,81,134,3.33,
287,80,134,3.35,
280,79,134,3.37,
290,80,134,3.39,
291,81,134,3.41,
295,81,0,3.43,
295,81,134,3.45,
339,81,134,3.47,
323,78,134,3.49,
310,77,134,3.52,
310,77,133,3.54,
310,77,133,3.56,
310,77,133,3.58,
318,78,133,3.60,
318,78,134,3.62,
310,77,134,3.64,
310,78,135,3.67,
325,79,135,3.69,
323,78,135,3.71,
308,76,135,3.73,
310,77,135,3.75,
318,78,135,3.77,
323,78,136,3.79,
318,78,136,3.82,
319,79,136,3.84,
345,79,137,3.86,
322,78,137,3.88,
309,77,137,3.90,
309,77,137,3.92,
307,76,137,3.95,
303,77,137,3.97,
310,78,137,3.99,
324,79,137,4.01,
324,79,137,4.03,
317,78,137,4.05,
317,78,136,4.07,
342,77,136,4.10,
342,62,136,4.12,
353,63,136,4.14,
361,64,137,4.16,
351,63,136,4.19,
343,61,134,4.21,
340,61,135,4.23,
322,59,135,4.25,
291,57,137,4.28,
289,56,137,4.30,
288,56,138,4.32,
393,66,139,4.34,
330,65,140,4.36,
339,66,140,4.38,
349,67,140,4.40,
290,72,140,4.43,
426,73,139,4.45,
414,67,138,4.47,
372,64,137,4.49,
351,62,137,4.52,
349,62,136,4.54,
347,62,136,4.56,
279,72,136,4.58,
347,72,136,4.61,
338,71,137,4.63,
323,69,136,4.65,
307,68,135,4.67,
315,68,135,4.69,
332,70,136,4.71,
339,71,136,4.74,
337,70,134,4.76,
331,70,132,4.78,
331,70,126,4.80,
347,72,125,4.82,
347,72,124,4.85,
374,72,125,4.87,
369,56,126,4.89,
283,58,131,4.91,
311,67,133,4.94,
320,69,133,4.96,
336,70,133,4.98,
503,68,133,5.00,
364,57,135,5.02,
362,57,137,5.05,
364,58,139,5.07,
281,70,141,5.09,
341,70,142,5.11,
341,70,141,5.14,
339,69,141,5.16,
332,69,139,5.18,
330,68,139,5.20,
306,68,140,5.22,
322,68,141,5.25,
322,68,141,5.27,
320,68,142,5.29,
319,67,143,5.31,
311,66,143,5.33,
305,66,141,5.35,
305,66,141,5.37,
305,66,139,5.40,
305,66,139,5.42,
313,67,138,5.44,
322,68,136,5.46,
331,70,136,5.48,
339,70,137,5.50,
337,70,138,5.53,
526,64,139,5.55,
437,61,139,5.57,
273,56,139,5.59,
389,71,139,5.62,
370,69,139,5.64,
350,66,140,5.66,
368,65,141,5.69,
452,63,142,5.71,
435,60,142,5.73,
295,56,142,5.76,
316,74,139,5.78,
382,73,139,5.80,
362,70,140,5.82,
343,68,141,5.85,
310,65,142,5.87,
308,65,141,5.89,
311,67,141,5.91,
354,70,140,5.93,
354,70,140,5.96,
342,68,141,5.98,
327,67,142,6.00,
234,67,143,6.02,
332,82,143,6.04,
330,82,143,6.06,
318,82,143,6.09,
330,84,143,6.11,
348,87,142,6.13,
327,87,142,6.15,
327,83,141,6.17,
309,82,142,6.20,
310,83,142,6.22,
297,82,143,6.24,
295,82,143,6.26,
312,82,142,6.28,
290,81,141,6.30,
285,81,140,6.32,
348,81,140,6.34,
348,81,140,6.37,
333,79,139,6.39,
324,77,139,6.41,
338,77,137,6.43,
338,77,138,6.45,
338,77,139,6.47,
330,76,142,6.50,
323,75,142,6.52,
315,74,142,6.54,
305,74,140,6.56,
301,73,139,6.58,
313,74,140,6.61,
321,75,140,6.63,
322,76,140,6.65,
336,77,140,6.67,
337,78,140,6.69,
352,79,140,6.71,
231,80,139,6.74,
338,99,139,6.76,
352,98,139,6.78,
340,95,139,6.80,
318,92,138,6.82,
306,90,138,6.85,
300,89,138,6.87,
312,91,139,6.89,
326,92,140,6.91,
338,90,140,6.93,
367,90,140,6.95,
393,82,140,6.97,
384,81,139,7.00,
373,79,139,7.02,
359,78,139,7.04,
287,77,142,7.07,
303,82,142,7.09,
319,82,143,7.11,
310,80,144,7.13,
305,80,144,7.15,
299,79,143,7.17,
299,79,143,7.19,
305,80,142,7.22,
305,80,141,7.24,
305,80,141,7.26,
313,82,141,7.28,
304,83,141,7.30,
302,82,141,7.32,
312,82,140,7.34,
317,82,140,7.36,
317,82,140,7.39,
317,82,140,7.41,
317,82,140,7.43,
308,81,140,7.45,
308,81,140,7.47,
308,81,140,7.49,
301,80,140,7.52,
295,79,140,7.54,
293,78,139,7.56,
289,79,138,7.58,
346,78,138,7.60,
340,77,138,7.62,
324,75,139,7.64,
324,75,140,7.66,
323,75,141,7.69,
323,75,141,7.71,
330,76,142,7.73,
323,75,141,7.75,
323,75,141,7.77,
324,75,140,7.80,
335,75,140,7.82,
350,74,139,7.84,
404,70,139,7.86,
426,72,139,7.88,
323,61,139,7.91,
334,63,0,7.93,
333,62,0,7.95,
349,72,139,7.97,
355,72,140,8.00,
337,71,142,8.02,
325,69,143,8.04,
315,69,143,8.06,
320,69,143,8.08,
325,70,143,8.10,
324,69,143,8.13,
316,68,141,8.15,
317,69,141,8.17,
325,70,143,8.19,
432,71,143,8.21,
431,70,143,8.23,
394,67,142,8.26,
362,69,141,8.28,
362,69,141,8.30,
353,68,140,8.33,
343,67,140,8.35,
334,66,140,8.37,
313,64,141,8.39,
324,69,141,8.42,
331,69,141,8.44,
322,68,141,8.46,
322,69,141,8.48,
324,69,142,8.50,
325,69,143,8.52,
321,70,144,8.55,
329,70,144,8.57,
325,70,142,8.59,
338,71,143,8.61,
328,69,142,8.63,
321,69,142,8.66,
322,70,140,8.68,
293,67,140,8.70,
311,68,140,8.72,
341,69,140,8.74,
473,66,141,8.76,
337,55,142,8.79,
363,58,142,8.81,
360,70,146,8.83,
362,70,147,8.85,
362,69,146,8.88,
352,68,146,8.90,
349,68,145,8.92,
348,68,146,8.94,
342,67,144,8.97,
343,68,144,8.99,
343,67,143,9.01,
340,66,142,9.03,
333,66,142,9.05,
322,65,142,9.08,
311,65,142,9.10,
310,64,143,9.12,
320,65,143,9.14,
339,68,143,9.16,
347,68,143,9.18,
338,67,143,9.21,
335,66,143,9.23,
328,66,143,9.25,
463,65,143,9.27,
447,61,143,9.29,
318,53,143,9.32,
339,56,141,9.34,
383,68,142,9.36,
381,67,142,9.38,
352,65,143,9.41,
350,64,143,9.43,
343,64,143,9.45,
343,64,143,9.48,
343,64,143,9.50,
340,64,143,9.52,
288,66,143,9.54,
308,70,143,9.56,
310,71,142,9.58,
325,70,142,9.61,
306,69,142,9.63,
293,69,142,9.65,
316,74,142,9.67,
324,73,142,9.69,
316,72,142,9.71,
315,70,142,9.73,
314,70,141,9.76,
315,70,141,9.78,
315,69,140,9.80,
309,69,140,9.82,
305,67,139,9.84,
308,69,139,9.86,
315,71,139,9.88,
324,71,139,9.91,
315,70,140,9.93,
316,71,140,9.95,
331,72,140,9.97,
330,72,140,9.99,
323,71,140,10.01,
314,70,140,10.04,
314,70,140,10.06,
330,72,140,10.08,
344,73,141,10.10,
314,70,139,10.12,
314,70,140,10.14,
312,70,140,10.17,
321,71,142,10.19,
329,72,143,10.21,
329,72,143,10.23,
330,72,143,10.25,
319,71,143,10.27,
319,71,142,10.30,
318,71,141,10.32,
318,71,140,10.34,
328,72,140,10.36,
309,68,140,10.38,
331,58,139,10.40,
339,58,137,10.43,
331,58,137,10.45,
329,58,138,10.47,
396,64,139,10.49,
293,64,141,10.51,
400,77,141,10.54,
371,74,141,10.56,
342,72,140,10.58,
344,71,139,10.60,
326,71,0,10.63,
316,69,139,10.65,
314,68,138,10.67,
307,67,138,10.69,
