
RIDE SUMMARY,
Total Time, 46.2, Minutes, 
Total Distance, 19.48, MI, 
AVG Power, 308, 
MAX Power, 522, 
AVG RPM, 69, 
MAX RPM, 99, 
AVG HR, 136, 
MAX HR, 155, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 42.9, Minutes, 
Total Distance, 18.45, MI, 
AVG Power, 321, 
MAX Power, 522, 
AVG HR, 140, 
MAX HR, 155, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
133,75,0,0.00,
130,75,0,0.01,
133,75,0,0.02,
129,73,0,0.04,
118,70,0,0.05,
117,69,37,0.07,
118,69,55,0.08,
114,69,73,0.10,
121,69,71,0.11,
116,69,68,0.13,
117,68,68,0.14,
118,68,69,0.16,
112,69,70,0.17,
114,71,71,0.19,
126,71,74,0.20,
116,71,77,0.22,
126,71,83,0.23,
126,71,85,0.25,
126,71,85,0.27,
126,72,87,0.28,
126,71,88,0.30,
125,71,90,0.31,
125,71,90,0.33,
126,71,90,0.34,
120,70,90,0.36,
121,70,91,0.37,
118,68,91,0.39,
116,68,90,0.40,
118,70,90,0.42,
121,70,89,0.43,
118,69,89,0.45,
118,68,87,0.47,
117,69,86,0.48,
116,69,87,0.50,
114,68,87,0.51,
119,68,86,0.53,
118,69,83,0.54,
114,68,83,0.56,
113,67,80,0.57,
110,68,80,0.59,
119,70,80,0.60,
122,71,80,0.62,
122,71,80,0.63,
159,73,80,0.65,
172,74,81,0.66,
149,69,82,0.68,
153,70,83,0.70,
152,70,84,0.71,
149,69,86,0.73,
149,69,87,0.74,
149,69,89,0.76,
144,67,90,0.78,
142,67,89,0.79,
145,68,88,0.81,
149,70,86,0.83,
153,70,84,0.84,
149,69,84,0.86,
149,69,84,0.88,
149,69,85,0.89,
149,69,86,0.91,
153,71,87,0.93,
161,72,87,0.94,
161,73,88,0.96,
193,85,88,0.98,
209,83,90,0.99,
201,82,89,1.01,
200,82,90,1.03,
206,83,92,1.05,
206,83,93,1.07,
205,83,91,1.09,
246,84,87,1.10,
246,85,86,1.12,
246,84,85,1.14,
246,84,85,1.16,
241,83,88,1.18,
241,83,90,1.20,
241,83,95,1.22,
240,82,100,1.24,
231,81,103,1.26,
229,80,103,1.28,
226,80,103,1.30,
221,79,104,1.32,
220,79,104,1.34,
231,82,103,1.36,
246,84,103,1.37,
246,84,102,1.39,
241,83,102,1.41,
240,82,102,1.43,
235,81,101,1.45,
254,82,98,1.47,
257,84,96,1.49,
249,85,96,1.51,
257,84,93,1.53,
267,85,94,1.55,
264,85,95,1.57,
245,85,95,1.59,
248,85,97,1.61,
268,87,96,1.63,
279,88,98,1.65,
258,88,100,1.67,
277,88,111,1.69,
277,88,116,1.71,
277,88,120,1.73,
271,87,121,1.75,
266,86,123,1.77,
250,85,122,1.79,
260,86,122,1.81,
260,85,122,1.83,
280,88,123,1.85,
275,87,123,1.87,
265,86,126,1.90,
264,86,127,1.92,
264,87,128,1.94,
269,87,128,1.96,
275,88,128,1.98,
275,88,127,2.00,
269,87,128,2.02,
269,87,128,2.04,
275,88,128,2.06,
275,88,128,2.08,
269,87,128,2.10,
275,88,129,2.12,
275,88,130,2.14,
275,89,130,2.16,
285,90,130,2.18,
285,90,130,2.20,
291,91,130,2.22,
296,92,130,2.24,
295,91,130,2.26,
376,89,129,2.29,
332,82,130,2.31,
325,81,130,2.33,
318,80,131,2.35,
306,79,132,2.37,
306,79,132,2.39,
304,79,132,2.41,
303,78,133,2.44,
298,78,133,2.46,
296,77,132,2.48,
297,78,132,2.50,
296,79,132,2.52,
301,79,132,2.54,
306,80,133,2.56,
306,80,133,2.58,
305,80,134,2.60,
304,80,134,2.63,
307,81,134,2.65,
310,81,134,2.67,
309,81,135,2.69,
311,81,135,2.71,
309,80,135,2.73,
332,81,136,2.75,
332,81,136,2.77,
330,80,136,2.80,
339,79,136,2.82,
309,78,136,2.84,
329,78,136,2.86,
315,79,137,2.88,
334,80,137,2.91,
314,79,137,2.93,
312,78,137,2.95,
307,78,137,2.97,
307,78,136,2.99,
314,79,137,3.01,
312,78,137,3.03,
307,78,138,3.06,
328,79,138,3.08,
332,79,138,3.10,
331,79,138,3.12,
311,79,139,3.14,
324,78,139,3.16,
322,77,139,3.19,
317,77,139,3.21,
315,77,139,3.23,
316,77,139,3.25,
314,77,139,3.27,
312,77,139,3.29,
294,77,139,3.32,
309,77,139,3.34,
313,80,139,3.36,
324,78,139,3.38,
304,76,139,3.40,
302,75,139,3.42,
302,76,139,3.44,
311,77,139,3.46,
311,77,139,3.49,
428,69,138,3.51,
358,67,138,3.53,
278,57,138,3.55,
287,58,137,3.57,
316,62,137,3.60,
335,64,137,3.62,
314,61,137,3.64,
295,59,137,3.66,
296,60,138,3.68,
324,62,139,3.70,
278,64,139,3.72,
311,67,140,3.75,
329,69,140,3.77,
329,68,141,3.79,
337,70,139,3.81,
343,70,139,3.83,
362,67,138,3.85,
320,59,138,3.88,
391,65,138,3.90,
382,64,138,3.92,
363,62,138,3.94,
351,62,138,3.97,
311,63,139,3.99,
355,68,139,4.01,
317,68,140,4.03,
296,70,140,4.06,
331,72,141,4.08,
328,72,141,4.10,
306,70,141,4.12,
298,69,141,4.14,
287,69,141,4.16,
310,70,141,4.18,
315,70,142,4.20,
416,66,141,4.23,
391,63,141,4.25,
339,59,140,4.27,
339,58,139,4.30,
307,56,139,4.32,
301,55,140,4.34,
295,54,141,4.36,
327,57,142,4.38,
328,58,142,4.40,
336,57,142,4.42,
294,55,143,4.45,
381,62,143,4.47,
379,61,142,4.49,
326,57,142,4.51,
305,55,142,4.53,
303,54,142,4.56,
296,55,142,4.58,
291,54,142,4.60,
285,54,141,4.62,
274,52,141,4.64,
346,59,141,4.66,
314,56,141,4.68,
294,54,141,4.70,
274,52,141,4.73,
291,53,141,4.75,
271,53,141,4.77,
303,55,141,4.79,
