
RIDE SUMMARY,
Total Time, 49.4, Minutes, 
Total Distance, 21.07, MI, 
AVG Power, 319, 
MAX Power, 667, 
AVG RPM, 67, 
MAX RPM, 83, 
AVG HR, 143, 
MAX HR, 165, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 46.8, Minutes, 
Total Distance, -nan, MI, 
AVG Power, 329, 
MAX Power, 667, 
AVG HR, 146, 
MAX HR, 165, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
87,79,0,0.00,
150,79,0,0.00,
144,77,0,0.02,
132,72,0,0.03,
127,72,0,0.05,
131,74,0,0.07,
134,74,0,0.08,
136,74,38,0.10,
149,76,58,0.11,
152,75,78,0.13,
138,72,81,0.15,
135,71,81,0.16,
135,71,82,0.18,
134,70,82,0.20,
127,68,84,0.21,
124,68,86,0.23,
123,68,87,0.24,
124,69,89,0.26,
128,69,89,0.27,
124,68,89,0.29,
124,68,88,0.30,
121,67,88,0.32,
121,67,87,0.34,
118,66,86,0.35,
125,66,86,0.37,
121,67,86,0.38,
131,67,86,0.40,
120,67,87,0.41,
120,67,87,0.43,
120,66,88,0.44,
116,66,88,0.46,
124,66,89,0.47,
119,67,89,0.49,
121,67,89,0.50,
126,67,89,0.52,
126,67,89,0.53,
130,68,89,0.55,
133,69,89,0.57,
133,69,88,0.58,
173,80,88,0.60,
195,80,88,0.61,
206,81,87,0.63,
202,80,87,0.65,
185,79,87,0.67,
170,76,87,0.68,
183,77,87,0.70,
270,80,89,0.72,
291,83,91,0.74,
346,82,96,0.76,
324,81,98,0.78,
306,79,99,0.80,
292,77,99,0.82,
407,66,98,0.84,
323,64,99,0.87,
305,62,101,0.89,
276,58,106,0.91,
249,56,109,0.93,
241,54,113,0.95,
235,54,113,0.97,
260,63,114,0.99,
296,63,115,1.01,
284,64,115,1.03,
305,66,119,1.05,
305,66,121,1.07,
311,66,121,1.09,
402,56,122,1.12,
305,54,122,1.14,
289,53,122,1.16,
306,55,121,1.18,
314,54,121,1.20,
292,53,122,1.22,
327,66,123,1.25,
302,64,124,1.27,
302,64,127,1.29,
294,63,127,1.31,
290,63,128,1.33,
293,63,128,1.35,
294,63,128,1.37,
295,64,127,1.39,
301,64,124,1.41,
311,66,123,1.44,
301,64,122,1.46,
299,63,122,1.48,
295,64,122,1.50,
302,65,123,1.52,
319,66,123,1.54,
317,65,125,1.56,
300,64,126,1.58,
300,64,128,1.61,
290,63,129,1.63,
273,61,130,1.65,
290,63,131,1.67,
307,65,131,1.69,
307,65,133,1.71,
319,65,134,1.73,
302,51,134,1.75,
302,51,135,1.78,
302,52,134,1.80,
291,51,134,1.82,
281,50,134,1.84,
280,50,134,1.86,
289,61,134,1.88,
275,61,134,1.90,
268,63,134,1.92,
292,66,134,1.94,
308,66,134,1.96,
306,65,134,1.98,
291,64,134,2.00,
299,65,135,2.03,
325,68,135,2.05,
307,68,135,2.07,
308,66,135,2.09,
298,65,135,2.11,
287,66,133,2.13,
294,66,132,2.15,
310,67,132,2.17,
292,67,133,2.20,
292,67,135,2.22,
316,67,136,2.24,
326,54,136,2.26,
325,55,136,2.28,
260,48,136,2.30,
381,58,135,2.32,
336,55,135,2.35,
303,46,135,2.37,
324,54,136,2.39,
293,51,137,2.41,
262,57,137,2.43,
271,67,138,2.45,
292,66,139,2.47,
308,66,138,2.49,
308,66,138,2.51,
308,66,138,2.54,
309,67,137,2.56,
308,66,137,2.58,
306,65,138,2.60,
300,65,138,2.62,
308,66,138,2.64,
308,66,138,2.66,
314,66,140,2.68,
308,66,141,2.71,
299,65,141,2.73,
299,65,141,2.75,
300,66,141,2.77,
306,65,141,2.79,
299,65,141,2.81,
291,64,141,2.83,
292,64,140,2.85,
292,64,140,2.88,
406,63,140,2.90,
389,60,139,2.92,
293,52,138,2.94,
369,58,138,2.96,
283,51,137,2.98,
330,54,137,3.01,
281,51,136,3.03,
324,54,136,3.05,
289,66,136,3.07,
321,66,136,3.09,
328,66,137,3.11,
310,65,137,3.14,
301,63,138,3.16,
304,64,138,3.18,
293,64,138,3.20,
308,64,138,3.22,
309,65,138,3.24,
343,65,138,3.26,
416,55,138,3.28,
355,51,138,3.31,
395,53,138,3.33,
365,47,138,3.35,
408,54,139,3.38,
392,53,139,3.40,
450,57,139,3.42,
336,50,139,3.45,
378,52,140,3.47,
251,67,141,3.49,
336,67,142,3.51,
309,64,143,3.54,
309,64,144,3.56,
309,64,145,3.58,
309,64,145,3.60,
300,63,146,3.62,
308,64,146,3.64,
319,64,146,3.66,
307,64,146,3.69,
305,63,145,3.71,
300,64,145,3.73,
308,64,144,3.75,
306,64,144,3.77,
310,65,144,3.79,
317,67,143,3.81,
347,67,143,3.84,
347,67,142,3.86,
337,66,142,3.88,
319,64,141,3.90,
319,64,141,3.92,
328,65,140,3.95,
319,64,140,3.97,
319,64,141,3.99,
328,65,142,4.01,
310,63,143,4.03,
307,62,144,4.05,
317,64,143,4.07,
305,75,143,4.10,
335,79,143,4.12,
333,78,142,4.14,
320,77,141,4.16,
306,76,141,4.18,
299,75,140,4.20,
302,75,140,4.22,
302,75,139,4.25,
302,75,139,4.27,
303,76,138,4.29,
317,78,138,4.31,
349,78,138,4.33,
338,76,138,4.35,
310,73,137,4.37,
317,73,137,4.40,
322,73,138,4.42,
304,73,138,4.44,
298,72,138,4.46,
298,72,138,4.48,
310,72,138,4.50,
310,72,137,4.52,
293,71,137,4.55,
292,72,136,4.57,
318,74,136,4.59,
325,74,136,4.61,
317,73,137,4.63,
315,72,138,4.65,
309,72,139,4.67,
302,72,140,4.70,
301,71,142,4.72,
309,72,141,4.74,
301,71,141,4.76,
309,72,139,4.78,
309,72,139,4.80,
315,72,139,4.82,
310,73,139,4.84,
309,72,140,4.87,
309,72,141,4.89,
295,71,141,4.91,
309,72,141,4.93,
307,72,140,4.95,
306,71,139,4.97,
300,71,139,4.99,
306,71,139,5.02,
306,72,138,5.04,
293,70,138,5.06,
324,74,136,5.08,
324,74,136,5.10,
324,74,135,5.12,
306,71,136,5.14,
298,70,136,5.17,
293,70,137,5.19,
298,70,138,5.21,
300,71,139,5.23,
293,70,139,5.25,
293,70,138,5.27,
300,71,138,5.29,
301,71,137,5.31,
301,71,136,5.33,
300,71,136,5.35,
285,69,136,5.38,
293,70,135,5.40,
378,80,135,5.42,
324,74,135,5.44,
324,74,134,5.46,
322,74,134,5.48,
316,73,135,5.50,
316,73,136,5.53,
315,73,136,5.55,
307,72,136,5.57,
307,72,136,5.59,
315,73,137,5.61,
315,73,137,5.63,
315,73,137,5.66,
316,73,137,5.68,
323,74,137,5.70,
323,74,137,5.72,
324,75,137,5.74,
317,74,138,5.76,
321,73,138,5.78,
317,74,138,5.81,
318,74,138,5.83,
316,73,138,5.85,
310,73,138,5.87,
310,73,139,5.89,
322,74,140,5.91,
317,74,140,5.94,
331,83,140,5.96,
510,81,140,5.98,
494,79,140,6.00,
480,78,139,6.03,
471,77,139,6.05,
449,75,139,6.08,
326,82,139,6.10,
363,81,142,6.13,
355,80,144,6.15,
348,79,145,6.17,
348,79,146,6.19,
326,79,148,6.21,
349,79,148,6.24,
361,77,149,6.26,
340,76,149,6.28,
324,74,150,6.30,
343,74,150,6.33,
389,79,150,6.35,
456,78,149,6.37,
468,78,149,6.39,
455,77,149,6.42,
438,76,149,6.44,
434,75,150,6.47,
419,74,150,6.49,
313,74,151,6.52,
335,75,152,6.54,
348,76,154,6.56,
327,76,154,6.58,
327,76,155,6.60,
319,75,156,6.63,
318,75,157,6.65,
327,74,157,6.67,
301,73,156,6.69,
304,74,156,6.71,
315,75,153,6.73,
326,76,153,6.75,
315,75,153,6.78,
298,73,153,6.80,
298,73,152,6.82,
317,73,152,6.84,
335,73,151,6.86,
327,72,151,6.88,
327,72,151,6.91,
310,72,150,6.93,
318,71,150,6.95,
326,72,149,6.97,
327,72,149,6.99,
327,72,149,7.01,
318,71,149,7.04,
318,71,148,7.06,
310,70,147,7.08,
310,70,147,7.10,
318,71,147,7.12,
318,71,148,7.14,
311,71,147,7.16,
312,71,146,7.19,
318,71,145,7.21,
318,71,145,7.23,
315,70,145,7.25,
315,71,145,7.27,
315,70,145,7.29,
314,71,145,7.32,
310,71,145,7.34,
325,72,144,7.36,
333,73,144,7.38,
325,72,144,7.40,
325,72,143,7.42,
325,72,143,7.45,
324,71,141,7.47,
324,72,141,7.49,
316,71,142,7.51,
316,71,142,7.53,
314,71,142,7.55,
349,75,142,7.58,
308,70,142,7.60,
309,71,141,7.62,
324,72,140,7.64,
330,72,140,7.66,
315,71,140,7.68,
307,70,140,7.71,
289,70,139,7.73,
308,71,140,7.75,
314,71,141,7.77,
322,72,142,7.79,
314,71,141,7.81,
320,71,140,7.83,
314,71,139,7.86,
307,70,138,7.88,
314,71,137,7.90,
315,72,137,7.92,
322,72,135,7.94,
315,72,135,7.96,
319,71,135,7.98,
312,70,136,8.01,
311,70,137,8.03,
311,71,137,8.05,
306,70,137,8.07,
314,71,137,8.09,
311,70,136,8.11,
310,71,137,8.13,
312,71,138,8.16,
314,71,139,8.18,
306,70,140,8.20,
304,70,140,8.22,
301,70,140,8.24,
305,70,140,8.26,
298,70,141,8.28,
309,71,142,8.31,
301,70,143,8.33,
301,70,143,8.35,
294,70,142,8.37,
301,70,141,8.39,
301,70,140,8.41,
302,70,140,8.43,
302,70,138,8.45,
339,74,138,8.47,
331,73,138,8.50,
315,71,139,8.52,
309,71,140,8.54,
316,72,140,8.56,
316,72,140,8.58,
332,74,139,8.60,
331,72,139,8.63,
325,71,139,8.65,
325,71,139,8.67,
312,71,140,8.69,
300,70,141,8.71,
311,80,141,8.73,
311,80,144,8.75,
311,80,144,8.78,
303,79,144,8.80,
381,76,143,8.82,
574,69,143,8.84,
538,66,142,8.86,
468,62,142,8.89,
427,59,141,8.91,
395,55,141,8.94,
250,55,141,8.96,
358,67,142,8.99,
341,66,144,9.01,
356,66,145,9.03,
338,65,145,9.05,
344,64,146,9.07,
427,75,146,9.10,
435,73,146,9.12,
390,70,146,9.14,
393,70,147,9.17,
393,70,148,9.19,
291,61,149,9.21,
431,60,150,9.24,
429,59,151,9.26,
249,48,151,9.28,
349,69,151,9.31,
330,69,151,9.33,
323,67,151,9.35,
321,66,151,9.37,
552,65,151,9.39,
519,62,152,9.41,
448,58,152,9.44,
423,58,151,9.47,
300,49,151,9.49,
477,75,152,9.51,
415,69,152,9.54,
416,70,153,9.56,
448,72,154,9.58,
444,70,155,9.61,
302,68,156,9.63,
276,67,157,9.66,
293,69,158,9.68,
309,71,158,9.70,
309,71,159,9.72,
309,71,159,9.74,
307,71,160,9.76,
301,70,159,9.78,
317,72,159,9.80,
317,72,157,9.83,
301,70,156,9.85,
299,70,155,9.87,
299,70,154,9.89,
301,70,154,9.91,
309,71,154,9.93,
309,71,154,9.95,
358,70,154,9.98,
346,68,155,10.00,
339,68,155,10.02,
330,67,154,10.04,
329,66,154,10.06,
313,65,154,10.09,
476,65,153,10.11,
372,55,152,10.13,
362,54,150,10.15,
422,58,150,10.17,
258,57,149,10.20,
334,65,149,10.22,
334,65,149,10.24,
325,64,149,10.26,
325,64,149,10.29,
325,64,149,10.31,
334,65,149,10.33,
363,68,149,10.35,
385,72,150,10.37,
453,77,150,10.39,
443,76,150,10.42,
422,74,150,10.44,
412,73,150,10.47,
410,72,150,10.49,
363,68,150,10.51,
322,63,150,10.54,
293,64,150,10.56,
310,66,151,10.58,
311,66,151,10.60,
309,65,152,10.62,
301,65,151,10.64,
315,65,151,10.67,
304,65,151,10.69,
290,64,0,10.71,
300,65,150,10.73,
309,65,150,10.75,
312,66,150,10.77,
348,69,150,10.79,
346,69,150,10.82,
329,67,150,10.84,
312,65,150,10.86,
313,66,150,10.88,
319,66,150,10.90,
321,66,150,10.92,
308,63,150,10.95,
317,64,149,10.97,
453,53,149,10.99,
333,53,148,11.01,
356,54,147,11.03,
351,55,147,11.06,
362,55,147,11.08,
369,56,147,11.10,
387,62,148,11.12,
341,63,149,11.15,
371,65,150,11.17,
382,66,150,11.19,
382,66,150,11.21,
382,66,151,11.24,
379,66,151,11.26,
371,65,151,11.28,
382,66,151,11.31,
382,67,153,11.33,
378,66,153,11.35,
474,65,154,11.38,
448,63,154,11.40,
410,58,154,11.42,
353,55,154,11.45,
309,69,154,11.47,
396,68,154,11.49,
356,64,155,11.51,
354,62,156,11.54,
347,62,156,11.56,
348,62,157,11.58,
317,60,157,11.61,
276,61,156,11.63,
294,64,156,11.65,
328,67,156,11.67,
323,68,156,11.69,
327,67,155,11.71,
318,66,155,11.73,
309,65,154,11.76,
309,65,153,11.78,
307,64,153,11.80,
300,64,153,11.82,
299,64,154,11.84,
308,65,154,11.86,
308,66,154,11.88,
325,67,154,11.90,
325,67,153,11.93,
263,66,153,11.95,
339,76,152,11.97,
331,75,151,11.99,
329,74,150,12.01,
316,73,150,12.03,
324,74,150,12.06,
324,74,148,12.08,
322,73,148,12.10,
314,72,148,12.12,
308,72,148,12.14,
308,72,148,12.16,
316,73,149,12.19,
317,74,149,12.21,
317,73,150,12.23,
316,73,151,12.25,
316,73,152,12.27,
316,73,153,12.29,
316,73,153,12.31,
317,73,151,12.34,
317,73,150,12.36,
314,73,148,12.38,
308,72,148,12.40,
308,72,147,12.42,
308,72,146,12.44,
308,72,146,12.46,
306,72,146,12.49,
300,71,146,12.51,
298,71,146,12.53,
293,70,146,12.55,
293,70,145,12.57,
331,75,145,12.59,
332,76,146,12.61,
340,77,146,12.63,
348,78,148,12.66,
371,80,149,12.68,
371,80,148,12.70,
380,81,148,12.72,
380,81,147,12.75,
378,80,147,12.77,
556,77,147,12.79,
438,64,147,12.82,
413,62,147,12.84,
411,60,147,12.86,
390,60,147,12.89,
204,53,148,12.91,
342,74,149,12.93,
308,69,150,12.96,
289,67,151,12.98,
268,66,152,13.00,
276,67,152,13.02,
276,67,152,13.04,
276,67,152,13.06,
282,68,151,13.08,
315,65,151,13.10,
306,64,151,13.12,
295,63,151,13.14,
302,62,152,13.16,
289,63,152,13.19,
295,62,152,13.21,
293,62,152,13.23,
302,63,152,13.25,
311,64,152,13.27,
302,63,152,13.29,
303,63,152,13.31,
304,64,152,13.33,
302,63,152,13.35,
301,63,152,13.38,
299,63,152,13.40,
298,62,152,13.42,
283,61,152,13.44,
284,62,153,13.46,
349,63,152,13.48,
335,60,152,13.50,
285,58,151,13.52,
289,57,151,13.55,
285,57,151,13.57,
288,57,151,13.59,
288,57,151,13.61,
285,58,151,13.63,
304,59,151,13.65,
316,61,151,13.67,
310,61,151,13.69,
312,61,151,13.71,
322,60,151,13.73,
315,60,151,13.76,
316,61,151,13.78,
324,61,152,13.80,
322,60,152,13.82,
313,59,153,13.84,
311,60,153,13.86,
313,60,154,13.89,
315,60,154,13.91,
304,59,153,13.93,
314,60,153,13.95,
334,62,153,13.97,
344,63,153,13.99,
324,61,153,14.01,
314,60,153,14.04,
