
RIDE SUMMARY,
Total Time, 43.6, Minutes, 
Total Distance, 19.88, MI, 
AVG Power, 383, 
MAX Power, 623, 
AVG RPM, 70, 
MAX RPM, 113, 
AVG HR, 137, 
MAX HR, 163, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 42.5, Minutes, 
Total Distance, 19.58, MI, 
AVG Power, 389, 
MAX Power, 623, 
AVG HR, 138, 
MAX HR, 163, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
1,7,0,0.00,
9,75,0,0.00,
134,87,0,0.00,
134,87,0,0.01,
133,86,56,0.03,
128,85,76,0.05,
128,85,77,0.06,
65,36,77,0.08,
25,35,77,0.09,
105,96,79,0.10,
156,96,77,0.11,
234,96,77,0.13,
232,94,78,0.14,
221,91,78,0.16,
211,90,78,0.18,
214,88,80,0.20,
200,89,84,0.22,
201,89,84,0.24,
200,89,83,0.26,
196,88,83,0.28,
197,89,83,0.29,
200,90,84,0.31,
221,91,84,0.33,
201,90,84,0.35,
212,88,84,0.37,
194,89,84,0.39,
193,89,84,0.40,
192,88,84,0.42,
206,89,83,0.44,
206,90,83,0.46,
212,91,85,0.48,
214,91,86,0.50,
206,88,87,0.51,
409,87,87,0.53,
348,77,87,0.55,
314,76,88,0.58,
322,74,88,0.60,
292,72,86,0.62,
282,67,83,0.64,
259,67,84,0.66,
251,68,85,0.68,
262,70,87,0.70,
268,68,90,0.72,
257,69,92,0.74,
272,70,95,0.76,
281,68,97,0.78,
265,68,97,0.80,
290,71,98,0.82,
286,71,101,0.84,
261,65,105,0.86,
273,69,107,0.89,
260,68,107,0.91,
256,67,106,0.93,
277,72,107,0.95,
284,72,109,0.97,
267,68,110,0.99,
264,67,110,1.01,
257,67,110,1.03,
253,68,112,1.05,
295,71,112,1.07,
286,69,112,1.09,
316,67,113,1.11,
309,70,114,1.13,
262,61,114,1.15,
278,63,114,1.17,
291,65,117,1.19,
293,64,118,1.21,
294,65,117,1.24,
275,61,117,1.26,
285,64,117,1.28,
285,65,116,1.30,
285,64,116,1.32,
293,65,116,1.34,
279,63,116,1.36,
318,68,116,1.38,
308,65,115,1.40,
300,65,116,1.42,
309,68,116,1.44,
294,63,116,1.47,
283,64,116,1.49,
279,65,116,1.51,
292,64,118,1.53,
289,66,119,1.55,
302,68,118,1.57,
303,67,118,1.59,
316,67,118,1.61,
239,59,118,1.63,
324,68,119,1.65,
262,61,119,1.67,
275,64,119,1.70,
286,64,119,1.72,
319,68,119,1.74,
281,60,119,1.76,
270,62,119,1.78,
282,64,118,1.80,
336,70,118,1.82,
345,72,119,1.84,
332,69,119,1.86,
328,69,119,1.88,
332,69,120,1.91,
332,69,120,1.93,
342,71,120,1.95,
345,71,121,1.97,
319,66,121,1.99,
311,68,122,2.02,
336,70,123,2.04,
302,66,123,2.06,
302,67,123,2.08,
294,65,123,2.10,
331,65,124,2.12,
326,63,124,2.15,
320,63,124,2.17,
302,62,124,2.19,
320,64,123,2.21,
358,67,122,2.23,
336,64,122,2.25,
327,64,122,2.28,
328,65,124,2.30,
265,57,124,2.32,
338,66,125,2.34,
347,66,124,2.36,
261,58,124,2.38,
279,61,124,2.41,
337,66,124,2.43,
398,70,124,2.45,
356,65,124,2.47,
342,65,124,2.49,
346,66,124,2.52,
346,66,124,2.54,
361,68,124,2.56,
366,69,124,2.58,
371,68,124,2.61,
388,69,124,2.63,
380,69,125,2.65,
376,69,125,2.67,
376,69,125,2.70,
356,67,126,2.72,
365,67,126,2.74,
350,62,127,2.77,
289,60,128,2.79,
