
RIDE SUMMARY,
Total Time, 44.6, Minutes, 
Total Distance, 26.23, MI, 
AVG Power, 294, 
MAX Power, 555, 
AVG RPM, 69, 
MAX RPM, 146, 
AVG HR, 133, 
MAX HR, 170, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 42.5, Minutes, 
Total Distance, 25.50, MI, 
AVG Power, 300, 
MAX Power, 555, 
AVG HR, 135, 
MAX HR, 170, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
24,59,0,0.00,
147,94,0,0.00,
169,93,0,0.01,
141,80,0,0.03,
133,79,75,0.04,
118,78,75,0.06,
125,77,76,0.07,
134,82,76,0.08,
189,85,76,0.09,
194,85,76,0.11,
186,84,76,0.13,
179,82,76,0.15,
150,86,77,0.17,
186,84,0,0.18,
186,84,0,0.20,
184,84,80,0.22,
185,84,82,0.24,
191,84,85,0.26,
194,82,88,0.28,
200,85,91,0.30,
181,86,96,0.32,
201,86,98,0.33,
190,87,100,0.35,
194,84,101,0.37,
196,85,102,0.39,
200,86,104,0.41,
200,86,106,0.43,
196,86,107,0.45,
200,86,110,0.47,
199,86,111,0.49,
193,83,110,0.51,
189,84,110,0.53,
193,83,110,0.55,
193,85,111,0.57,
188,81,114,0.59,
186,82,115,0.61,
183,82,115,0.63,
184,83,114,0.65,
185,83,113,0.67,
223,82,113,0.68,
243,80,114,0.70,
237,79,116,0.73,
231,77,116,0.75,
222,76,117,0.77,
278,77,117,0.80,
294,77,118,0.82,
289,71,119,0.85,
287,71,119,0.88,
257,69,121,0.91,
275,72,122,0.93,
209,59,126,0.96,
225,66,127,0.99,
239,68,127,1.01,
266,69,130,1.03,
266,70,131,1.06,
273,71,133,1.08,
263,70,134,1.11,
263,68,135,1.14,
261,69,136,1.17,
253,69,136,1.19,
253,67,134,1.22,
217,62,134,1.24,
276,75,134,1.27,
295,74,133,1.29,
287,73,133,1.32,
245,67,133,1.35,
246,68,133,1.37,
252,69,132,1.40,
268,70,131,1.42,
266,70,130,1.45,
266,70,129,1.48,
266,70,129,1.50,
254,68,130,1.53,
258,68,132,1.56,
251,67,132,1.58,
250,67,132,1.61,
241,67,132,1.63,
241,66,131,1.66,
278,72,130,1.68,
213,62,128,1.71,
219,70,124,1.73,
249,68,124,1.76,
236,66,123,1.78,
250,66,122,1.81,
249,67,122,1.83,
287,70,123,1.85,
285,68,122,1.88,
239,61,123,1.91,
297,72,123,1.94,
299,70,123,1.96,
262,66,123,1.99,
270,67,125,2.02,
268,65,126,2.05,
255,65,127,2.08,
255,65,126,2.10,
257,65,125,2.13,
327,78,124,2.15,
277,67,124,2.18,
276,68,124,2.21,
289,70,125,2.24,
288,70,125,2.27,
282,70,126,2.30,
289,70,126,2.32,
286,69,126,2.35,
287,70,125,2.38,
281,69,125,2.41,
281,69,0,2.44,
281,69,125,2.47,
282,70,124,2.49,
283,70,124,2.52,
298,71,123,2.55,
259,66,123,2.58,
345,65,121,2.61,
268,56,119,2.64,
284,59,118,2.67,
285,59,117,2.69,
308,53,118,2.72,
233,53,119,2.75,
241,56,120,2.78,
294,60,120,2.80,
308,61,121,2.83,
268,55,122,2.86,
245,54,122,2.89,
258,55,122,2.91,
274,57,121,2.94,
292,59,121,2.96,
297,60,120,2.99,
340,64,119,3.02,
325,63,117,3.05,
325,63,116,3.09,
316,62,116,3.12,
317,64,116,3.15,
337,64,117,3.18,
330,63,120,3.22,
255,64,121,3.25,
322,62,122,3.28,
304,60,122,3.31,
293,59,122,3.34,
290,58,122,3.37,
293,59,121,3.40,
307,61,120,3.43,
319,62,122,3.46,
334,64,123,3.49,
335,64,126,3.52,
336,64,127,3.56,
327,63,127,3.59,
379,67,129,3.62,
304,62,130,3.66,
310,63,132,3.69,
327,63,135,3.72,
325,62,136,3.75,
296,60,136,3.79,
282,58,137,3.82,
272,57,137,3.85,
273,58,137,3.87,
272,57,138,3.90,
261,55,138,3.93,
252,55,139,3.96,
263,57,138,3.98,
237,53,137,4.01,
301,60,135,4.03,
269,56,133,4.06,
269,57,131,4.09,
359,67,129,4.11,
350,65,127,4.14,
298,60,126,4.18,
305,61,125,4.21,
298,59,125,4.24,
280,66,124,4.27,
332,64,123,4.30,
313,62,122,4.33,
310,62,119,4.36,
310,61,118,4.40,
299,60,118,4.43,
243,54,119,4.46,
252,56,122,4.49,
320,62,124,4.51,
322,63,126,4.54,
332,63,128,4.57,
332,64,129,4.61,
326,64,131,4.64,
321,61,132,4.67,
264,56,136,4.70,
255,55,138,4.73,
266,60,140,4.76,
292,59,141,4.79,
290,60,142,4.81,
301,60,142,4.84,
276,58,142,4.87,
274,56,0,4.90,
264,56,141,4.93,
265,57,141,4.96,
291,59,140,4.98,
301,61,140,5.01,
290,60,140,5.04,
