
RIDE SUMMARY,
Total Time, 32.0, Minutes, 
Total Distance, 14.20, MI, 
AVG Power, 222, 
MAX Power, 451, 
AVG RPM, 72, 
MAX RPM, 122, 
AVG HR, 139, 
MAX HR, 156, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 31.4, Minutes, 
Total Distance, 14.06, MI, 
AVG Power, 224, 
MAX Power, 451, 
AVG HR, 139, 
MAX HR, 156, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
53,91,0,0.00,
52,88,0,0.00,
50,88,0,0.01,
156,89,0,0.01,
145,87,0,0.02,
139,83,0,0.03,
128,81,0,0.05,
136,81,0,0.06,
138,81,0,0.08,
143,83,0,0.09,
143,84,0,0.10,
140,82,0,0.12,
137,81,0,0.13,
140,82,0,0.15,
143,89,0,0.16,
161,89,69,0.17,
154,99,69,0.19,
151,98,72,0.21,
155,99,74,0.22,
160,99,76,0.24,
163,100,79,0.25,
158,96,82,0.27,
132,101,86,0.28,
162,100,91,0.30,
160,97,101,0.31,
202,97,105,0.33,
195,95,106,0.35,
201,96,110,0.37,
195,96,112,0.39,
185,92,113,0.41,
183,90,112,0.43,
182,91,112,0.44,
178,90,113,0.46,
175,88,114,0.48,
174,89,114,0.50,
171,88,113,0.52,
173,89,113,0.53,
177,91,113,0.55,
181,94,115,0.57,
187,93,116,0.59,
152,90,117,0.60,
141,94,118,0.62,
149,100,119,0.64,
150,102,120,0.65,
168,103,120,0.67,
152,104,121,0.68,
168,103,120,0.70,
154,103,120,0.71,
112,85,122,0.73,
153,101,123,0.75,
119,101,125,0.76,
112,85,125,0.77,
161,101,124,0.79,
160,100,122,0.80,
142,98,122,0.81,
146,98,0,0.83,
149,97,122,0.84,
150,97,122,0.86,
149,97,122,0.87,
146,98,122,0.89,
175,98,123,0.90,
179,101,123,0.92,
181,100,123,0.94,
178,99,123,0.95,
178,99,124,0.97,
185,102,124,0.99,
184,101,124,1.01,
180,98,124,1.03,
170,96,124,1.05,
169,95,125,1.06,
170,96,124,1.08,
163,92,124,1.10,
155,91,124,1.12,
152,90,125,1.13,
158,92,126,1.15,
159,94,127,1.16,
164,95,127,1.18,
167,95,127,1.19,
162,91,124,1.21,
159,93,123,1.23,
168,95,122,1.24,
186,97,122,1.26,
174,95,123,1.28,
165,95,123,1.30,
181,97,125,1.31,
140,88,127,1.33,
183,98,128,1.35,
178,98,128,1.36,
182,98,129,1.38,
182,98,130,1.40,
179,97,130,1.42,
173,95,130,1.43,
168,96,130,1.45,
181,98,130,1.47,
170,97,131,1.49,
171,96,132,1.51,
205,96,133,1.52,
158,91,133,1.54,
257,89,132,1.56,
215,75,132,1.58,
181,73,131,1.60,
224,69,131,1.62,
253,68,133,1.64,
229,64,134,1.66,
306,76,134,1.69,
244,67,134,1.71,
224,64,132,1.74,
194,70,132,1.76,
257,69,132,1.78,
205,61,133,1.81,
199,60,133,1.83,
257,69,133,1.86,
242,66,133,1.88,
212,62,132,1.90,
175,61,131,1.93,
244,67,132,1.95,
241,64,132,1.97,
229,65,133,1.99,
271,71,133,2.01,
212,62,134,2.04,
221,64,135,2.07,
217,63,135,2.09,
215,57,135,2.11,
236,66,135,2.13,
228,64,136,2.15,
168,55,136,2.18,
204,61,137,2.20,
202,60,136,2.22,
196,63,137,2.24,
223,64,136,2.26,
237,67,137,2.28,
249,68,137,2.30,
210,62,138,2.32,
241,66,137,2.35,
234,66,136,2.37,
260,65,136,2.39,
229,65,136,2.42,
221,63,136,2.44,
208,62,136,2.46,
263,61,137,2.49,
227,57,137,2.51,
185,52,137,2.53,
198,52,137,2.56,
199,55,137,2.58,
221,56,138,2.60,
242,60,138,2.62,
243,60,138,2.64,
203,54,138,2.66,
211,55,137,2.69,
239,59,137,2.71,
256,62,137,2.73,
300,65,137,2.76,
272,62,137,2.78,
252,59,136,2.81,
259,62,136,2.84,
282,63,136,2.87,
284,61,136,2.89,
241,58,136,2.92,
239,57,136,2.95,
234,59,136,2.97,
247,60,136,3.00,
271,64,137,3.02,
262,61,137,3.05,
279,64,138,3.07,
333,63,138,3.10,
274,66,139,3.13,
291,64,139,3.16,
281,61,140,3.19,
230,57,140,3.22,
194,52,140,3.24,
238,58,141,3.27,
253,60,141,3.29,
206,53,142,3.31,
209,56,143,3.34,
233,59,143,3.36,
263,71,142,3.38,
252,70,142,3.40,
240,68,141,3.43,
243,67,141,3.45,
253,68,141,3.48,
240,68,141,3.50,
250,70,141,3.53,
249,70,141,3.55,
246,67,140,3.58,
237,66,140,3.60,
231,65,141,3.63,
232,65,142,3.65,
233,66,142,3.67,
237,66,140,3.70,
298,66,140,3.72,
318,66,141,3.74,
226,56,141,3.78,
225,56,140,3.80,
226,55,140,3.83,
218,55,140,3.85,
202,54,141,3.87,
212,55,141,3.89,
215,56,141,3.91,
215,55,141,3.94,
211,54,141,3.96,
225,55,142,3.98,
230,57,142,4.00,
255,59,143,4.02,
208,58,143,4.05,
185,50,143,4.07,
202,53,143,4.09,
280,62,143,4.11,
281,63,143,4.14,
288,64,143,4.16,
285,62,0,4.19,
282,62,143,4.22,
269,61,143,4.25,
309,65,143,4.28,
289,64,143,4.31,
242,57,143,4.34,
301,65,143,4.37,
343,69,143,4.39,
242,58,144,4.42,
242,58,144,4.45,
242,57,144,4.48,
229,56,144,4.50,
236,57,143,4.53,
230,56,143,4.55,
219,54,143,4.57,
236,57,143,4.60,
260,61,144,4.62,
292,64,144,4.64,
249,58,144,4.67,
245,59,144,4.70,
246,59,145,4.72,
259,60,145,4.75,
233,56,145,4.77,
221,56,146,4.80,
243,58,146,4.82,
276,63,145,4.84,
275,57,145,4.87,
291,64,146,4.89,
267,61,146,4.92,
273,66,147,4.95,
291,64,147,4.97,
276,79,147,5.00,
282,80,147,5.03,
276,79,147,5.06,
259,76,147,5.09,
210,89,147,5.11,
197,88,148,5.13,
198,87,148,5.15,
199,86,148,5.17,
167,79,148,5.19,
205,89,147,5.21,
201,88,146,5.23,
199,86,146,5.25,
201,89,146,5.27,
204,89,0,5.29,
201,88,146,5.31,
204,89,145,5.33,
203,89,145,5.35,
193,86,145,5.37,
193,86,145,5.39,
198,90,145,5.41,
211,91,144,5.43,
208,91,144,5.45,
205,91,143,5.47,
213,93,142,5.49,
227,95,142,5.51,
236,96,142,5.53,
235,97,142,5.56,
231,96,142,5.58,
234,96,142,5.60,
235,98,142,5.63,
239,98,142,5.65,
237,95,142,5.67,
211,91,143,5.70,
203,88,143,5.72,
209,93,143,5.74,
219,93,144,5.76,
214,91,144,5.78,
208,90,144,5.81,
216,94,0,5.83,
147,91,0,5.85,
144,90,145,5.87,
150,92,145,5.89,
150,96,145,5.90,
143,93,146,5.91,
150,93,146,5.93,
156,95,145,5.94,
161,98,145,5.96,
127,84,145,5.98,
172,101,144,5.99,
172,101,144,6.01,
245,100,144,6.02,
227,97,144,6.04,
240,98,144,6.07,
222,96,145,6.09,
239,95,145,6.11,
218,94,143,6.14,
207,90,143,6.16,
200,90,143,6.18,
216,92,143,6.20,
223,95,143,6.22,
244,99,143,6.24,
256,102,143,6.27,
258,103,143,6.29,
235,102,143,6.32,
218,115,143,6.34,
217,114,144,6.37,
237,121,144,6.39,
243,118,145,6.41,
196,91,145,6.43,
232,101,146,6.46,
243,104,147,6.48,
247,105,148,6.50,
232,101,149,6.53,
228,100,149,6.55,
232,101,149,6.57,
238,102,148,6.60,
228,100,148,6.62,
206,94,149,6.64,
163,81,149,6.67,
163,82,149,6.69,
158,79,148,6.70,
152,77,148,6.72,
146,76,147,6.73,
194,68,147,6.75,
194,68,147,6.76,
261,67,148,6.78,
308,65,147,6.80,
299,62,148,6.83,
226,54,148,6.86,
234,55,148,6.89,
242,56,147,6.91,
232,54,146,6.94,
231,55,145,6.96,
284,61,145,6.98,
273,59,145,7.01,
216,53,144,7.03,
234,55,144,7.06,
203,51,144,7.08,
211,52,144,7.10,
232,54,145,7.12,
226,54,145,7.14,
292,62,145,7.17,
195,50,144,7.19,
204,53,144,7.22,
283,61,144,7.24,
292,62,144,7.27,
249,57,144,7.29,
211,53,145,7.32,
345,68,145,7.35,
419,75,145,7.37,
195,50,145,7.40,
