
RIDE SUMMARY,
Total Time, 30.6, Minutes, 
Total Distance, 16.72, MI, 
AVG Power, 274, 
MAX Power, 459, 
AVG RPM, 76, 
MAX RPM, 140, 
AVG HR, 146, 
MAX HR, 160, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 30.0, Minutes, 
Total Distance, 16.54, MI, 
AVG Power, 276, 
MAX Power, 459, 
AVG HR, 146, 
MAX HR, 160, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
118,84,0,0.00,
136,91,0,0.00,
117,83,0,0.02,
111,81,0,0.03,
112,86,0,0.04,
128,88,0,0.05,
295,89,0,0.06,
234,77,0,0.08,
218,75,0,0.11,
208,73,0,0.13,
223,76,37,0.15,
233,80,76,0.17,
268,83,77,0.19,
260,84,77,0.21,
202,83,80,0.24,
261,92,81,0.26,
256,91,81,0.28,
192,78,80,0.31,
233,86,82,0.33,
235,88,85,0.36,
241,88,87,0.38,
236,86,93,0.40,
223,84,103,0.43,
218,83,105,0.45,
213,81,106,0.47,
200,79,107,0.49,
202,79,108,0.52,
250,90,108,0.54,
254,91,109,0.56,
290,73,110,0.58,
308,90,110,0.61,
303,89,111,0.63,
290,86,112,0.66,
314,91,113,0.69,
263,82,113,0.72,
268,83,113,0.75,
268,83,114,0.78,
263,82,114,0.80,
257,81,118,0.83,
253,82,119,0.86,
263,84,120,0.88,
278,85,121,0.91,
273,85,123,0.94,
283,86,125,0.96,
278,85,125,0.99,
266,83,125,1.02,
265,84,125,1.05,
249,84,126,1.07,
253,103,128,1.10,
283,102,128,1.13,
279,102,128,1.15,
284,101,128,1.18,
279,100,128,1.21,
265,96,129,1.24,
244,92,129,1.27,
244,92,132,1.29,
245,94,133,1.32,
245,92,133,1.34,
225,89,134,1.37,
242,91,134,1.39,
243,92,134,1.41,
229,90,134,1.44,
233,89,134,1.46,
230,89,134,1.48,
225,88,133,1.51,
243,92,132,1.53,
248,95,132,1.55,
251,94,133,1.58,
247,94,134,1.60,
242,93,135,1.63,
254,91,135,1.65,
208,65,135,1.68,
197,63,136,1.71,
259,70,136,1.73,
315,67,136,1.75,
292,64,136,1.78,
249,60,136,1.81,
226,57,137,1.84,
261,60,136,1.87,
285,63,136,1.89,
289,65,134,1.92,
300,58,134,1.94,
245,58,135,1.97,
261,60,135,2.00,
292,63,137,2.03,
346,70,138,2.05,
337,69,139,2.08,
328,68,140,2.11,
415,76,139,2.15,
320,69,139,2.18,
400,76,137,2.22,
390,75,136,2.25,
319,67,137,2.29,
327,68,138,2.32,
345,70,139,2.36,
343,64,140,2.39,
276,62,139,2.42,
276,62,139,2.45,
385,73,138,2.48,
284,63,138,2.51,
277,64,139,2.54,
289,63,142,2.57,
291,64,144,2.60,
283,63,145,2.63,
278,63,146,2.65,
324,68,148,2.68,
313,66,148,2.71,
289,64,149,2.74,
323,68,149,2.77,
331,69,149,2.80,
289,64,148,2.83,
280,63,148,2.86,
264,61,148,2.89,
305,66,149,2.92,
240,58,149,2.95,
252,67,149,2.98,
311,66,148,3.00,
288,64,147,3.03,
286,63,146,3.06,
296,65,146,3.09,
312,67,147,3.12,
313,68,147,3.15,
354,72,147,3.18,
336,69,148,3.21,
312,67,148,3.25,
316,70,148,3.28,
356,71,149,3.31,
277,62,150,3.34,
378,74,150,3.38,
279,64,150,3.41,
295,65,148,3.44,
227,55,147,3.47,
322,66,146,3.50,
292,65,146,3.52,
302,66,147,3.55,
307,70,147,3.58,
344,70,147,3.61,
351,70,148,3.64,
326,69,148,3.68,
348,70,147,3.71,
324,69,147,3.75,
263,66,147,3.78,
278,62,147,3.81,
274,62,148,3.84,
277,62,148,3.87,
275,61,147,3.90,
299,65,147,3.92,
309,65,147,3.95,
300,65,147,3.98,
328,68,147,4.01,
325,66,148,4.04,
319,67,147,4.08,
317,66,147,4.11,
319,67,147,4.14,
259,76,147,4.17,
299,76,148,4.20,
326,80,148,4.23,
309,78,149,4.26,
216,66,149,4.29,
232,68,149,4.32,
317,79,149,4.35,
317,79,149,4.38,
307,76,149,4.41,
232,67,149,4.44,
247,69,149,4.47,
253,70,149,4.49,
257,83,148,4.52,
342,83,147,4.54,
326,80,146,4.57,
313,79,145,4.61,
308,79,145,4.64,
297,77,145,4.67,
291,76,146,4.70,
302,77,148,4.73,
296,76,148,4.76,
271,73,148,4.79,
272,74,148,4.82,
282,74,147,4.85,
257,71,147,4.87,
208,64,147,4.90,
249,78,147,4.93,
232,67,148,4.95,
233,68,147,4.98,
271,73,147,5.00,
291,76,146,5.03,
287,73,146,5.05,
311,79,146,5.08,
309,78,146,5.11,
304,78,146,5.14,
311,79,146,5.17,
326,82,146,5.20,
332,82,147,5.24,
332,82,146,5.27,
316,68,147,5.30,
219,65,146,5.33,
284,75,146,5.36,
251,70,146,5.38,
244,69,145,5.41,
237,67,145,5.44,
238,68,145,5.46,
238,68,145,5.48,
240,69,146,5.51,
339,83,146,5.53,
337,83,146,5.56,
337,83,147,5.59,
284,75,149,5.62,
220,66,149,5.66,
238,68,149,5.69,
252,71,148,5.71,
232,67,148,5.73,
235,76,148,5.76,
317,80,148,5.78,
307,78,147,5.81,
263,78,147,5.84,
304,84,147,5.87,
230,87,147,5.90,
263,89,147,5.93,
285,92,148,5.95,
281,92,148,5.98,
298,96,149,6.01,
318,97,148,6.04,
317,95,148,6.07,
296,93,148,6.10,
305,95,150,6.13,
285,101,150,6.16,
275,100,150,6.19,
261,101,150,6.22,
257,101,151,6.25,
284,101,150,6.27,
279,100,150,6.30,
277,98,150,6.33,
270,98,150,6.36,
