
RIDE SUMMARY,
Total Time, 50.4, Minutes, 
Total Distance, 21.49, MI, 
AVG Power, 317, 
MAX Power, 545, 
AVG RPM, 69, 
MAX RPM, 85, 
AVG HR, 140, 
MAX HR, 158, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 46.8, Minutes, 
Total Distance, -nan, MI, 
AVG Power, 326, 
MAX Power, 545, 
AVG HR, 144, 
MAX HR, 158, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
142,48,0,0.00,
234,72,0,0.01,
239,70,0,0.03,
215,67,0,0.05,
212,65,0,0.06,
201,65,37,0.08,
196,65,56,0.10,
204,65,75,0.12,
180,66,74,0.14,
167,64,74,0.16,
166,63,73,0.17,
161,64,71,0.19,
165,63,70,0.21,
184,69,69,0.23,
186,68,69,0.24,
176,66,70,0.26,
161,65,70,0.28,
165,64,70,0.30,
170,65,71,0.31,
174,66,73,0.33,
170,65,74,0.35,
168,65,75,0.36,
208,75,75,0.38,
214,74,75,0.40,
192,70,76,0.42,
192,70,76,0.44,
192,70,76,0.46,
183,68,76,0.47,
181,67,76,0.49,
177,66,75,0.51,
172,66,74,0.53,
172,66,74,0.54,
172,66,74,0.56,
172,66,77,0.58,
172,66,79,0.60,
172,66,85,0.61,
172,66,95,0.63,
172,67,96,0.65,
217,75,97,0.67,
217,75,98,0.68,
212,74,99,0.70,
207,73,100,0.72,
202,72,98,0.74,
196,70,97,0.76,
192,70,97,0.78,
192,71,97,0.80,
197,71,99,0.81,
197,71,99,0.83,
197,71,99,0.85,
197,72,99,0.87,
206,73,98,0.89,
212,74,99,0.90,
211,74,100,0.92,
211,74,101,0.94,
212,74,102,0.96,
212,74,101,0.98,
212,74,99,1.00,
213,75,98,1.02,
216,74,94,1.04,
212,75,94,1.05,
213,75,94,1.07,
217,76,94,1.09,
265,84,94,1.11,
302,83,94,1.13,
292,81,94,1.15,
280,79,93,1.17,
268,78,93,1.19,
275,78,91,1.21,
295,79,90,1.23,
280,79,90,1.25,
276,79,90,1.27,
284,80,90,1.30,
301,81,89,1.32,
284,81,89,1.34,
303,81,89,1.36,
283,81,89,1.38,
283,81,89,1.40,
283,81,88,1.42,
302,81,88,1.44,
303,81,0,1.46,
303,81,89,1.48,
301,80,90,1.50,
296,80,91,1.53,
274,80,94,1.55,
316,83,102,1.57,
318,85,104,1.59,
321,84,104,1.61,
320,84,105,1.63,
303,84,106,1.65,
307,83,106,1.67,
311,83,105,1.70,
305,82,104,1.72,
305,82,101,1.74,
305,82,101,1.76,
298,81,100,1.78,
298,81,100,1.80,
298,81,98,1.82,
305,82,98,1.84,
304,82,96,1.87,
311,83,95,1.89,
311,83,95,1.91,
311,83,95,1.93,
304,82,96,1.95,
304,82,96,1.97,
304,82,96,1.99,
304,82,96,2.01,
297,81,95,2.04,
291,81,95,2.06,
297,82,94,2.08,
304,82,93,2.10,
300,81,93,2.12,
296,81,93,2.14,
303,82,93,2.16,
302,82,106,2.18,
301,82,106,2.20,
301,82,130,2.23,
317,82,141,2.25,
299,82,141,2.27,
299,82,141,2.29,
306,83,141,2.31,
304,83,141,2.33,
299,82,141,2.35,
300,82,142,2.37,
300,82,142,2.40,
299,82,142,2.42,
306,83,142,2.44,
304,83,141,2.46,
299,82,142,2.48,
306,83,141,2.50,
304,82,142,2.52,
299,82,142,2.54,
299,82,142,2.56,
299,82,142,2.59,
299,83,141,2.61,
306,83,141,2.63,
306,83,140,2.65,
306,83,140,2.67,
306,83,140,2.69,
306,83,140,2.71,
306,83,140,2.73,
306,83,140,2.76,
306,83,140,2.78,
306,83,140,2.80,
307,84,140,2.82,
312,84,141,2.84,
312,84,140,2.86,
311,83,141,2.88,
310,84,141,2.91,
306,83,142,2.93,
305,82,143,2.95,
306,83,143,2.97,
305,82,143,2.99,
299,82,144,3.01,
293,81,143,3.03,
293,81,143,3.05,
299,82,143,3.07,
343,82,142,3.10,
350,77,142,3.12,
340,76,141,3.14,
331,74,141,3.16,
324,74,141,3.18,
525,73,142,3.21,
436,65,143,3.23,
402,63,143,3.25,
366,59,143,3.28,
343,58,142,3.30,
321,57,142,3.32,
367,71,143,3.34,
341,70,144,3.37,
348,69,145,3.39,
348,70,146,3.41,
363,67,146,3.43,
313,55,146,3.46,
314,56,146,3.48,
279,58,146,3.50,
297,64,146,3.52,
347,69,146,3.54,
348,69,146,3.56,
340,68,147,3.58,
329,66,147,3.61,
322,66,147,3.63,
312,66,147,3.65,
306,64,148,3.67,
311,65,148,3.69,
321,67,148,3.71,
321,66,148,3.74,
305,64,148,3.76,
320,65,147,3.78,
415,57,146,3.80,
336,56,146,3.82,
334,54,145,3.85,
291,52,146,3.87,
293,53,146,3.89,
304,61,147,3.91,
313,73,147,3.93,
354,73,148,3.95,
353,72,148,3.98,
341,71,148,4.00,
333,70,148,4.02,
475,55,148,4.04,
331,55,146,4.07,
352,58,146,4.09,
266,49,145,4.11,
271,62,145,4.13,
379,73,146,4.15,
363,71,146,4.17,
344,70,147,4.20,
345,70,148,4.22,
352,71,148,4.24,
359,70,148,4.26,
443,65,148,4.29,
400,60,147,4.31,
295,53,147,4.33,
323,74,147,4.36,
352,73,147,4.38,
336,70,148,4.40,
327,71,149,4.42,
328,72,150,4.44,
337,71,150,4.46,
343,72,150,4.49,
344,71,149,4.51,
