
RIDE SUMMARY,
Total Time, 46.2, Minutes, 
Total Distance, 19.57, MI, 
AVG Power, 312, 
MAX Power, 585, 
AVG RPM, 72, 
MAX RPM, 98, 
AVG HR, 133, 
MAX HR, 153, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 43.4, Minutes, 
Total Distance, 18.69, MI, 
AVG Power, 322, 
MAX Power, 585, 
AVG HR, 136, 
MAX HR, 153, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
172,66,0,0.00,
176,67,0,0.01,
145,68,0,0.02,
149,67,0,0.04,
148,67,0,0.06,
141,65,0,0.07,
133,63,37,0.09,
131,64,56,0.11,
136,64,56,0.12,
131,62,76,0.14,
129,62,76,0.15,
129,62,78,0.17,
125,61,78,0.18,
125,61,79,0.20,
125,61,83,0.22,
125,62,83,0.23,
125,61,84,0.25,
125,61,85,0.26,
125,61,86,0.28,
132,63,87,0.29,
128,61,88,0.31,
129,62,90,0.32,
129,63,90,0.34,
132,63,90,0.36,
129,62,90,0.37,
129,62,91,0.39,
124,60,92,0.40,
121,60,93,0.42,
125,62,93,0.43,
132,64,92,0.45,
135,63,92,0.46,
132,64,90,0.48,
152,68,88,0.50,
161,70,87,0.51,
151,67,87,0.53,
144,66,88,0.55,
186,76,89,0.56,
182,75,91,0.58,
181,74,92,0.60,
177,74,92,0.61,
177,74,92,0.63,
173,73,91,0.65,
169,72,92,0.67,
169,72,92,0.68,
173,73,93,0.70,
173,73,94,0.72,
169,72,95,0.74,
169,72,96,0.75,
173,74,97,0.77,
186,76,98,0.79,
190,77,98,0.81,
177,74,99,0.82,
177,74,99,0.84,
182,75,100,0.86,
217,83,101,0.88,
222,85,101,0.89,
231,87,101,0.91,
234,86,102,0.93,
230,85,103,0.95,
222,84,104,0.97,
226,85,104,0.99,
226,85,106,1.01,
255,85,106,1.03,
256,85,107,1.05,
255,84,108,1.07,
255,84,108,1.09,
256,84,109,1.11,
256,84,110,1.13,
261,85,112,1.15,
260,84,113,1.17,
256,84,114,1.19,
249,83,115,1.21,
255,84,117,1.23,
255,84,117,1.25,
255,85,117,1.27,
264,86,117,1.29,
280,85,118,1.31,
273,83,118,1.33,
263,82,119,1.35,
257,81,119,1.37,
257,81,120,1.39,
263,82,120,1.41,
264,82,120,1.43,
269,83,120,1.45,
274,84,121,1.47,
280,85,121,1.49,
283,90,122,1.51,
303,89,122,1.53,
296,87,123,1.55,
285,86,123,1.57,
285,86,123,1.59,
280,85,123,1.61,
274,84,124,1.63,
269,84,124,1.66,
303,89,124,1.68,
297,88,124,1.70,
303,89,124,1.72,
303,89,125,1.74,
296,87,127,1.76,
291,87,128,1.78,
286,87,128,1.80,
285,86,129,1.82,
285,86,129,1.84,
291,87,130,1.86,
297,88,130,1.88,
296,87,130,1.91,
284,85,0,1.93,
285,86,0,1.95,
285,86,130,1.97,
294,86,131,1.99,
310,87,131,2.01,
304,86,131,2.03,
305,86,131,2.05,
297,85,131,2.07,
290,83,131,2.09,
278,81,131,2.12,
273,81,131,2.14,
279,82,131,2.16,
361,81,131,2.18,
343,78,132,2.20,
328,76,132,2.22,
320,75,132,2.24,
316,75,132,2.26,
315,74,131,2.29,
306,74,131,2.31,
306,74,0,2.33,
314,75,132,2.35,
312,74,132,2.37,
304,73,132,2.39,
299,73,133,2.41,
299,73,134,2.44,
310,74,134,2.46,
313,75,134,2.48,
313,75,134,2.50,
313,75,134,2.52,
313,75,134,2.54,
313,75,134,2.56,
306,74,134,2.59,
306,74,134,2.61,
307,75,134,2.63,
320,76,134,2.65,
318,75,135,2.67,
313,75,135,2.69,
306,74,135,2.71,
306,74,134,2.74,
306,74,134,2.76,
324,74,134,2.78,
324,74,134,2.80,
323,73,134,2.82,
323,72,134,2.84,
325,72,134,2.86,
325,72,134,2.89,
325,72,135,2.91,
317,71,136,2.93,
323,71,136,2.95,
299,71,136,2.97,
291,70,136,2.99,
308,70,136,3.02,
300,70,137,3.04,
301,70,136,3.06,
347,75,136,3.08,
347,75,135,3.10,
339,74,135,3.12,
337,73,134,3.14,
328,72,134,3.17,
319,71,134,3.19,
321,72,134,3.21,
324,72,133,3.23,
321,72,133,3.25,
321,72,134,3.27,
319,72,134,3.30,
328,73,134,3.32,
327,74,135,3.34,
333,74,135,3.36,
327,73,135,3.38,
470,71,135,3.40,
346,60,135,3.43,
344,58,135,3.45,
325,58,135,3.47,
316,57,135,3.49,
306,56,135,3.52,
314,58,135,3.54,
347,60,136,3.56,
333,58,136,3.58,
290,55,137,3.60,
302,56,137,3.62,
301,56,138,3.65,
300,60,138,3.67,
325,61,138,3.69,
338,73,138,3.71,
332,68,137,3.73,
326,69,136,3.75,
324,69,136,3.77,
322,68,136,3.80,
330,68,135,3.82,
323,68,135,3.84,
316,68,135,3.86,
323,68,135,3.88,
332,69,135,3.90,
323,68,136,3.93,
321,67,137,3.95,
310,69,137,3.97,
323,68,137,3.99,
323,68,138,4.01,
323,68,137,4.03,
438,67,137,4.06,
414,65,138,4.08,
387,61,137,4.10,
274,52,138,4.13,
294,55,137,4.15,
267,66,137,4.17,
336,75,137,4.19,
328,74,137,4.21,
327,73,137,4.23,
311,72,138,4.25,
303,71,138,4.28,
305,71,138,4.30,
313,72,138,4.32,
307,71,137,4.34,
300,70,137,4.36,
301,71,137,4.38,
330,74,136,4.40,
322,73,137,4.43,
308,72,137,4.45,
326,72,137,4.47,
308,73,137,4.49,
307,72,137,4.51,
313,72,137,4.53,
315,74,137,4.55,
321,73,137,4.58,
321,74,136,4.60,
323,74,135,4.62,
326,74,135,4.64,
322,74,135,4.66,
322,74,135,4.68,
322,74,135,4.71,
322,74,0,4.73,
326,74,135,4.75,
329,73,135,4.77,
330,73,136,4.79,
306,73,136,4.81,
303,72,136,4.84,
300,71,136,4.86,
313,71,136,4.88,
302,72,136,4.90,
295,72,137,4.92,
303,72,137,4.94,
328,73,137,4.96,
332,73,136,4.99,
309,72,136,5.01,
317,71,135,5.03,
311,72,135,5.05,
310,71,134,5.07,
487,64,133,5.09,
404,63,134,5.11,
381,61,134,5.14,
337,57,134,5.16,
339,71,135,5.19,
336,69,135,5.21,
275,70,136,5.23,
287,91,136,5.25,
341,91,135,5.27,
335,91,135,5.29,
351,92,135,5.31,
347,91,135,5.34,
325,88,135,5.36,
322,88,136,5.38,
321,87,137,5.40,
317,87,137,5.42,
317,87,138,5.45,
324,88,138,5.47,
