
RIDE SUMMARY,
Total Time, 52.4, Minutes, 
Total Distance, 34.41, MI, 
AVG Power, 328, 
MAX Power, 592, 
AVG RPM, 76, 
MAX RPM, 103, 
AVG HR, 138, 
MAX HR, 185, 
CAL, 0, 

STAGE_1_SUMMARY,
Stage Time, 46.8, Minutes, 
Total Distance, 32.44, MI, 
AVG Power, 346, 
MAX Power, 592, 
AVG HR, 143, 
MAX HR, 185, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
128,89,0,0.00,
125,88,0,0.00,
125,89,0,0.02,
125,88,0,0.03,
117,85,0,0.04,
125,88,0,0.05,
125,80,18,0.07,
216,95,56,0.08,
215,90,75,0.10,
198,86,75,0.12,
183,82,76,0.14,
181,83,77,0.16,
175,81,78,0.18,
177,83,81,0.19,
184,83,83,0.21,
179,85,85,0.23,
183,83,87,0.25,
179,82,87,0.27,
179,83,89,0.28,
183,83,89,0.30,
179,82,90,0.32,
179,82,90,0.34,
179,82,90,0.36,
178,82,90,0.37,
175,81,90,0.39,
175,81,90,0.41,
175,81,90,0.43,
171,80,91,0.45,
171,80,91,0.46,
171,81,92,0.48,
156,76,93,0.50,
182,82,93,0.51,
183,83,93,0.53,
182,82,93,0.55,
179,82,93,0.57,
165,80,93,0.59,
163,78,94,0.60,
168,80,94,0.62,
168,82,94,0.64,
187,82,94,0.65,
171,81,94,0.67,
156,78,94,0.69,
151,77,93,0.71,
165,80,93,0.72,
166,83,93,0.74,
176,82,92,0.75,
172,82,91,0.77,
168,81,91,0.79,
176,83,91,0.81,
172,83,91,0.82,
174,81,91,0.84,
172,82,91,0.86,
172,83,90,0.87,
201,89,90,0.89,
197,89,91,0.91,
197,89,91,0.93,
195,87,91,0.95,
186,86,90,0.97,
175,83,90,0.99,
177,83,91,1.01,
189,85,92,1.02,
191,84,93,1.04,
181,85,94,1.06,
186,87,93,1.08,
199,88,92,1.10,
198,86,92,1.12,
198,87,93,1.14,
177,85,94,1.16,
193,85,95,1.18,
181,88,97,1.20,
207,89,97,1.22,
206,90,96,1.23,
209,90,96,1.25,
205,89,94,1.28,
204,88,93,1.30,
189,85,94,1.32,
189,86,95,1.34,
202,88,95,1.36,
199,85,95,1.38,
186,84,96,1.40,
185,83,96,1.41,
194,86,97,1.43,
190,85,98,1.45,
179,82,99,1.47,
175,81,100,1.49,
179,82,100,1.51,
175,81,99,1.53,
179,83,0,1.54,
184,85,99,1.56,
184,83,98,1.58,
179,82,97,1.60,
176,83,97,1.62,
181,83,97,1.63,
181,83,97,1.65,
185,84,97,1.67,
185,84,97,1.69,
185,84,97,1.71,
181,83,97,1.73,
176,82,97,1.74,
188,83,97,1.76,
185,82,97,1.78,
170,82,97,1.80,
173,82,97,1.82,
175,82,97,1.83,
165,80,97,1.85,
169,81,97,1.87,
170,83,97,1.89,
187,86,96,1.90,
203,89,96,1.92,
165,80,96,1.94,
182,84,96,1.96,
262,95,96,1.98,
294,95,96,1.99,
308,94,98,2.01,
289,92,103,2.04,
284,91,104,2.07,
289,92,104,2.10,
284,91,103,2.13,
293,93,100,2.16,
293,93,101,2.18,
293,93,104,2.21,
291,91,106,2.24,
283,91,108,2.27,
278,90,111,2.30,
283,91,111,2.33,
278,90,112,2.36,
255,75,107,2.39,
301,95,103,2.41,
295,94,103,2.44,
285,92,99,2.46,
279,90,99,2.49,
295,91,98,2.52,
284,92,97,2.55,
293,94,95,2.58,
283,92,94,2.60,
283,92,93,2.63,
282,92,95,2.66,
288,93,95,2.69,
288,93,94,2.72,
288,94,94,2.75,
282,92,94,2.78,
271,90,98,2.80,
286,91,100,2.83,
274,91,102,2.86,
259,88,102,2.89,
257,88,104,2.91,
259,90,105,2.94,
273,91,104,2.97,
272,90,103,2.99,
269,91,102,3.02,
279,92,102,3.05,
289,94,102,3.07,
289,94,104,3.10,
284,93,107,3.13,
295,95,111,3.16,
295,95,117,3.19,
274,91,126,3.22,
274,91,125,3.25,
284,93,125,3.28,
284,93,123,3.30,
284,93,122,3.33,
282,91,122,3.36,
276,89,122,3.39,
262,87,122,3.42,
262,89,122,3.44,
279,92,122,3.47,
284,93,122,3.50,
279,92,122,3.52,
272,91,122,3.55,
291,92,122,3.58,
267,90,122,3.61,
276,91,122,3.64,
291,94,122,3.66,
278,92,122,3.69,
268,91,122,3.72,
275,92,123,3.75,
271,92,123,3.78,
298,93,123,3.81,
276,91,124,3.83,
261,90,123,3.86,
261,90,124,3.89,
275,94,124,3.92,
301,94,125,3.94,
301,94,125,3.97,
283,91,125,4.00,
252,89,125,4.03,
277,90,125,4.06,
310,92,125,4.09,
292,93,125,4.11,
292,93,0,4.14,
292,93,125,4.17,
282,91,125,4.20,
280,90,0,4.23,
332,85,0,4.26,
386,83,0,4.29,
349,67,125,4.32,
322,67,124,4.36,
313,66,0,4.39,
296,64,0,4.43,
344,62,124,4.46,
353,63,124,4.49,
339,62,124,4.52,
283,56,125,4.56,
274,55,125,4.59,
273,55,129,4.62,
271,55,130,4.65,
283,56,132,4.67,
293,57,133,4.70,
414,69,134,4.73,
291,57,134,4.77,
391,66,133,4.81,
351,63,133,4.84,
351,63,133,4.88,
393,67,133,4.91,
382,66,133,4.95,
374,64,133,4.99,
381,66,133,5.02,
302,58,134,5.06,
290,57,134,5.10,
290,56,135,5.13,
279,56,136,5.16,
282,57,137,5.19,
306,59,138,5.22,
327,69,138,5.25,
317,59,138,5.28,
317,60,138,5.32,
297,57,138,5.35,
345,61,138,5.38,
287,56,139,5.41,
284,56,139,5.45,
282,56,139,5.47,
307,62,139,5.50,
342,62,139,5.53,
294,58,138,5.56,
312,59,138,5.60,
293,56,138,5.63,
280,56,137,5.66,
301,58,137,5.69,
332,62,137,5.71,
341,62,137,5.74,
324,60,137,5.78,
321,60,137,5.81,
359,63,137,5.85,
254,53,137,5.88,
270,58,137,5.91,
352,55,137,5.94,
368,57,138,5.97,
324,50,139,6.01,
349,52,139,6.04,
345,52,139,6.08,
306,53,137,6.11,
321,60,137,6.15,
325,61,136,6.18,
324,59,131,6.21,
273,55,128,6.24,
322,60,126,6.27,
302,58,129,6.30,
293,57,134,6.33,
333,57,136,6.36,
283,56,137,6.40,
312,59,138,6.43,
335,63,138,6.46,
371,64,138,6.49,
362,64,138,6.52,
352,63,139,6.56,
374,66,139,6.60,
362,64,139,6.63,
368,74,139,6.67,
302,58,139,6.71,
255,53,140,6.75,
264,54,139,6.78,
293,57,139,6.80,
302,58,139,6.83,
323,61,139,6.86,
362,64,138,6.89,
360,64,138,6.92,
383,66,138,6.96,
302,58,138,7.00,
255,53,138,7.04,
381,65,138,7.07,
356,67,138,7.10,
363,72,138,7.13,
355,72,138,7.17,
310,66,138,7.20,
317,66,139,7.24,
316,66,139,7.27,
334,68,139,7.30,
338,67,139,7.33,
354,64,140,7.37,
322,60,140,7.40,
330,62,138,7.44,
267,55,136,7.47,
276,56,136,7.50,
296,59,137,7.53,
314,60,139,7.56,
302,59,139,7.59,
395,69,140,7.62,
307,60,140,7.65,
292,58,140,7.69,
366,64,138,7.72,
290,58,137,7.75,
301,59,136,7.78,
377,66,136,7.81,
348,64,136,7.84,
316,60,136,7.88,
326,62,136,7.91,
359,65,137,7.94,
349,64,138,7.98,
359,67,138,8.01,
376,67,138,8.05,
355,64,0,8.08,
252,54,137,8.12,
264,56,137,8.16,
355,65,137,8.18,
316,61,137,8.21,
278,57,137,8.25,
285,62,137,8.28,
325,62,137,8.31,
325,62,138,8.34,
333,62,140,8.37,
334,64,140,8.41,
354,65,140,8.44,
356,66,141,8.47,
242,53,140,8.51,
375,68,140,8.55,
446,69,140,8.57,
381,67,0,8.61,
278,56,138,8.66,
337,62,135,8.69,
324,61,135,8.72,
315,61,136,8.76,
334,63,136,8.79,
343,63,138,8.82,
343,63,138,8.85,
305,60,139,8.89,
372,66,139,8.92,
348,64,140,8.96,
326,63,139,8.99,
423,71,139,9.03,
371,66,139,9.06,
371,66,138,9.10,
351,64,138,9.14,
385,67,138,9.18,
358,64,0,9.21,
335,61,138,9.25,
282,69,137,9.28,
372,80,137,9.32,
347,79,138,9.35,
266,79,138,9.39,
286,84,138,9.42,
316,90,139,9.45,
340,91,139,9.48,
337,92,139,9.52,
364,95,140,9.55,
341,95,140,9.58,
389,93,140,9.62,
393,92,141,9.66,
342,88,141,9.70,
356,87,141,9.73,
371,90,141,9.77,
362,89,140,9.81,
390,90,139,9.84,
366,90,139,9.88,
360,89,139,9.92,
372,91,140,9.95,
399,92,140,9.99,
376,91,139,10.03,
375,91,139,10.07,
382,90,139,10.10,
360,90,139,10.14,
360,90,139,10.18,
379,90,140,10.22,
359,95,140,10.25,
364,91,140,10.29,
353,90,140,10.33,
387,91,141,10.36,
356,91,141,10.40,
352,89,141,10.44,
379,92,141,10.47,
371,90,141,10.51,
